folder,offset,sign
B07_wrong1,0:0:1605 8:59:0,+
B07_wrong2,0:0:1630 10:46:44,+
B07_wrong3,0:0:1685 10:8:0,+
D05_wrong1,0:0:1608 6:36:0,+
D05_wrong2,0:0:1654 6:22:0,+
D05_wrong3,0:0:1672 8:19:45,+
E04_wrong1,0:0:1617 10:4:23,+
E04_wrong2,0:0:1679 8:53:0,+
