Station	timeshift	sign
B09_Aug	0:0:4 0:0:0	-
D07_Nov_02	1:0:300 21:54:0	+
G02_Aug	1:0:190 16:22:0	+
G02_Nov_02	1:0:240 6:36:0	+
G08_Aug_02	1:0:205 12:0:0	+
G08_Nov_01	1:0:242 11:30:0	+
G08_Nov_02	1:0:241 23:30:0	+
I08_Nov	0:0:0 0:48:0	+
J13_Aug	0:0:0 0:20:0	+
K06_Nov	0:0:0 0:13:0	+
K08_Aug	0:0:0 0:0:8	+
M08_Aug_01	1:0:192 11:24:0	+
M08_Aug_02	1:0:206 12:24:0	+
M08_Nov_02	1:0:234 14:0:0	+
		
