StudySite,AEME,ALBU,ATPA,BDCR,CEAL,CENA,CHPY,CICI,COTA,GASA,GEGE,Guineafowl_crested,Guineafowl_helmeted,HEIC,HEPA,HIAM,HINI,Hornbill_ground,Human,HYAF,ICAL,KOEL,LEMI,LESE,LOAF,MATE,MECA,MUMU,ORAF,OTCR,OUOU,PACY,PALE,PHAF,POLA,RERE,SYCA,SYGR,TAOR,TRAN,TRST,TRSY
H11,0,0,0,0,0,0,0,2,0,1,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,1,6,1,2,0,0,1,1,6
H13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I04,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,76,1,0,12,0,0,0,2,0,14,53,0,88,6,13,0,0,0,0,0,57
I06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,2
I10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
I12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J05,2,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,3,0,20,1,1,0,0,0,0,0,8
J07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1
J09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,3
J11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J13,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,5,0,7,0,1,1,0,0,0,1,6
K04,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,37,2,1,5,0,0,0,2,0,9,18,1,38,1,0,0,0,0,0,0,27
K06,12,0,2,0,3,0,6,11,0,0,52,0,1,0,0,0,0,1,0,9,1,71,0,0,5,0,5,1,1,0,3,40,1,74,1,0,0,0,2,0,3,38
K08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K10,0,0,0,2,0,31,1,9,0,0,18,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0,3,0,0,0,0,12,0,11,1,1,0,0,0,10,0,6
K12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
L05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
L07,0,0,3,0,0,0,21,2,0,0,25,0,3,0,0,0,0,0,0,2,1,56,4,0,9,0,0,4,0,0,4,25,0,71,6,3,2,0,0,0,0,50
L09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,21,0,0,5,0,0,0,0,0,0,18,0,43,2,0,1,0,0,16,5,46
L13,0,0,0,1,0,1,10,1,0,3,3,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,14,0,7,4,0,0,0,0,1,0,11
M08,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,26,1,0,1,0,0,0,0,0,5,13,0,43,6,0,0,0,0,0,0,29
M10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,0,0,0,23,0,51,4,1,0,0,0,0,0,37
