,Camera,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
44910,H03,Baboon,10/25/16 04:43,10/25/16,4:43:03,234628,3910,65.2,2.7,Merged_no_ghost/H03/Baboon,2016 10 25 04 43 03.JPG
44911,H03,Baboon,10/25/16 04:43,10/25/16,4:43:03,234628,3910,65.2,2.7,Merged_no_ghost/H03/Baboon,2016 10 25 04 43 04.JPG
94015,L11,Baboon,10/29/16 04:43,10/29/16,4:43:15,39610,660,11,0.5,Merged_no_ghost/L11/Baboon,2016 10 29 04 43 15.JPG
94016,L11,Baboon,10/29/16 04:43,10/29/16,4:43:16,1,0,0,0,Merged_no_ghost/L11/Baboon,2016 10 29 04 43 16.JPG
59258,I12,Baboon,6/11/16 4:44,6/11/16,4:44:44,1032877,17215,286.9,12,Merged_no_ghost/I12/Baboon,2016 11 06 04 44 44.JPG
59259,I12,Baboon,6/11/16 4:44,6/11/16,4:44:45,1,0,0,0,Merged_no_ghost/I12/Baboon,2016 11 06 04 44 45.JPG
44912,H03,Baboon,10/25/16 04:45,10/25/16,4:45:31,148,2,0,0,Merged_no_ghost/H03/Baboon,2016 10 25 04 45 31.JPG
44913,H03,Baboon,10/25/16 04:45,10/25/16,4:45:31,148,2,0,0,Merged_no_ghost/H03/Baboon,2016 10 25 04 45 32.JPG
94017,L11,Baboon,10/29/16 04:46,10/29/16,4:46:25,189,3,0,0,Merged_no_ghost/L11/Baboon,2016 10 29 04 46 25.JPG
94018,L11,Baboon,10/29/16 04:46,10/29/16,4:46:26,1,0,0,0,Merged_no_ghost/L11/Baboon,2016 10 29 04 46 26.JPG
65046,J07,Baboon,7/11/16 4:47,7/11/16,4:47:00,1084,18,0.3,0,Merged_no_ghost/J07/Baboon,2016 11 07 04 47 00.JPG
65047,J07,Baboon,7/11/16 4:47,7/11/16,4:47:01,1,0,0,0,Merged_no_ghost/J07/Baboon,2016 11 07 04 47 01.JPG
53210,H13,Baboon,1/11/16 4:48,1/11/16,4:48:19,219948,3666,61.1,2.5,Merged_no_ghost/H13/Baboon,2016 11 01 04 48 19.JPG
53211,H13,Baboon,1/11/16 4:48,1/11/16,4:48:20,1,0,0,0,Merged_no_ghost/H13/Baboon,2016 11 01 04 48 20.JPG
44914,H03,Baboon,10/25/16 04:49,10/25/16,4:49:02,211,4,0.1,0,Merged_no_ghost/H03/Baboon,2016 10 25 04 49 02.JPG
44915,H03,Baboon,10/25/16 04:49,10/25/16,4:49:03,1,0,0,0,Merged_no_ghost/H03/Baboon,2016 10 25 04 49 03.JPG
44916,H03,Baboon,10/25/16 04:49,10/25/16,4:49:56,53,1,0,0,Merged_no_ghost/H03/Baboon,2016 10 25 04 49 56.JPG
44917,H03,Baboon,10/25/16 04:49,10/25/16,4:49:57,1,0,0,0,Merged_no_ghost/H03/Baboon,2016 10 25 04 49 57.JPG
44918,H03,Baboon,10/25/16 04:50,10/25/16,4:50:51,54,1,0,0,Merged_no_ghost/H03/Baboon,2016 10 25 04 50 51.JPG
44919,H03,Baboon,10/25/16 04:50,10/25/16,4:50:51,54,1,0,0,Merged_no_ghost/H03/Baboon,2016 10 25 04 50 52.JPG
44920,H03,Baboon,10/25/16 04:52,10/25/16,4:52:16,85,1,0,0,Merged_no_ghost/H03/Baboon,2016 10 25 04 52 16.JPG
44921,H03,Baboon,10/25/16 04:52,10/25/16,4:52:17,1,0,0,0,Merged_no_ghost/H03/Baboon,2016 10 25 04 52 17.JPG
70818,K06,Baboon,10/27/16 04:53,10/27/16,4:53:19,129663,2161,36,1.5,Merged_no_ghost/K06/Baboon,2016 10 27 04 40 19.JPG
70819,K06,Baboon,10/27/16 04:53,10/27/16,4:53:19,129663,2161,36,1.5,Merged_no_ghost/K06/Baboon,2016 10 27 04 40 20.JPG
93993,L11,Baboon,10/26/16 04:53,10/26/16,4:53:34,40955,683,11.4,0.5,Merged_no_ghost/L11/Baboon,2016 10 26 04 53 34.JPG
93994,L11,Baboon,10/26/16 04:53,10/26/16,4:53:34,40955,683,11.4,0.5,Merged_no_ghost/L11/Baboon,2016 10 26 04 53 35.JPG
70774,K06,Baboon,10/20/16 04:53,10/20/16,4:53:51,40526,675,11.2,0.5,Merged_no_ghost/K06/Baboon,2016 10 20 04 40 51.JPG
70775,K06,Baboon,10/20/16 04:53,10/20/16,4:53:51,40526,675,11.2,0.5,Merged_no_ghost/K06/Baboon,2016 10 20 04 40 52.JPG
99501,M10,Baboon,10/27/16 04:54,10/27/16,4:54:42,158140,2636,43.9,1.8,Merged_no_ghost/M10/Baboon,2016 10 27 04 54 42.JPG
99502,M10,Baboon,10/27/16 04:54,10/27/16,4:54:43,1,0,0,0,Merged_no_ghost/M10/Baboon,2016 10 27 04 54 43.JPG
65979,J09,Baboon,10/27/16 04:56,10/27/16,4:56:45,343159,5719,95.3,4,Merged_no_ghost/J09/Baboon,2016 10 27 04 56 45.JPG
65980,J09,Baboon,10/27/16 04:56,10/27/16,4:56:46,1,0,0,0,Merged_no_ghost/J09/Baboon,2016 10 27 04 56 46.JPG
53156,H13,Baboon,6/10/16 4:57,6/10/16,4:57:27,136455,2274,37.9,1.6,Merged_no_ghost/H13/Baboon,2016 10 06 04 57 27.JPG
53157,H13,Baboon,6/10/16 4:57,6/10/16,4:57:27,136455,2274,37.9,1.6,Merged_no_ghost/H13/Baboon,2016 10 06 04 57 28.JPG
53216,H13,Baboon,11/11/16 4:57,11/11/16,4:57:31,479544,7992,133.2,5.5,Merged_no_ghost/H13/Baboon,2016 11 11 04 57 31.JPG
53217,H13,Baboon,11/11/16 4:57,11/11/16,4:57:31,479544,7992,133.2,5.5,Merged_no_ghost/H13/Baboon,2016 11 11 04 57 32.JPG
65032,J07,Baboon,2/11/16 4:57,2/11/16,4:57:33,506662,8444,140.7,5.9,Merged_no_ghost/J07/Baboon,2016 11 02 04 57 33.JPG
65033,J07,Baboon,2/11/16 4:57,2/11/16,4:57:34,1,0,0,0,Merged_no_ghost/J07/Baboon,2016 11 02 04 57 34.JPG
70758,K06,Baboon,10/18/16 04:57,10/18/16,4:57:56,41953,699,11.7,0.5,Merged_no_ghost/K06/Baboon,2016 10 18 04 44 56.JPG
70759,K06,Baboon,10/18/16 04:57,10/18/16,4:57:57,1,0,0,0,Merged_no_ghost/K06/Baboon,2016 10 18 04 44 57.JPG
59260,I12,Baboon,6/11/16 4:58,6/11/16,4:58:08,803,13,0.2,0,Merged_no_ghost/I12/Baboon,2016 11 06 04 58 08.JPG
59261,I12,Baboon,6/11/16 4:58,6/11/16,4:58:09,1,0,0,0,Merged_no_ghost/I12/Baboon,2016 11 06 04 58 09.JPG
74491,K08,Baboon,10/21/16 04:58,10/21/16,4:58:11,1514964,25249,420.8,17.5,Merged_no_ghost/K08/Baboon,2016 10 21 04 58 11.JPG
66487,J11,Baboon,9/18/16 04:58,9/18/16,4:58:12,246029,4100,68.3,2.8,Merged_no_ghost/J11/Baboon,2016 09 18 04 58 12.JPG
74492,K08,Baboon,10/21/16 04:58,10/21/16,4:58:12,1,0,0,0,Merged_no_ghost/K08/Baboon,2016 10 21 04 58 12.JPG
66488,J11,Baboon,9/18/16 04:58,9/18/16,4:58:13,1,0,0,0,Merged_no_ghost/J11/Baboon,2016 09 18 04 58 13.JPG
95036,L13,Baboon,2/11/16 4:58,2/11/16,4:58:27,42011,700,11.7,0.5,Merged_no_ghost/L13/Baboon,2016 11 02 04 58 27.JPG
95037,L13,Baboon,2/11/16 4:58,2/11/16,4:58:28,1,0,0,0,Merged_no_ghost/L13/Baboon,2016 11 02 04 58 28.JPG
53218,H13,Baboon,11/11/16 4:58,11/11/16,4:58:44,73,1,0,0,Merged_no_ghost/H13/Baboon,2016 11 11 04 58 44.JPG
53219,H13,Baboon,11/11/16 4:58,11/11/16,4:58:45,1,0,0,0,Merged_no_ghost/H13/Baboon,2016 11 11 04 58 45.JPG
64974,J07,Baboon,10/17/16 04:59,10/17/16,4:59:28,39537,659,11,0.5,Merged_no_ghost/J07/Baboon,2016 10 17 04 59 28.JPG
64975,J07,Baboon,10/17/16 04:59,10/17/16,4:59:29,1,0,0,0,Merged_no_ghost/J07/Baboon,2016 10 17 04 59 29.JPG
7932,C06,Baboon,10/26/16 04:59,10/26/16,4:59:32,80863,1348,22.5,0.9,Merged_no_ghost/C06/Baboon,2016 10 26 04 59 32.JPG
