StudySite,Latitude,Longitude,Longitude.UTM,Latitude.UTM,height.cm,angle,detect.obscured,cover.ground,termite.count.100m,termite.count.50m,termite.large.count.100m,termite.large.count.50m,habitat.number,habitat.type,dominant.tree,fire.interval,poaching.all,poaching.high,boundary.distance,road.distance,road.major.distance,urema.distance,pan.distance,river.distance,tree.100m,tree.250m,tree.500m,tree.1km,termites.100m,termites.250m,termites.500m,termites.1km,fire2015.date,fire2016.date,fire2017.date,pans.100m,pans.250m,pans.500m,fire2015,fire2016,fire2017
F05,-18.93785,34.40944,648410.2911,7905456.782,90,-6,0,50,9,2,9,2,2,2_OW,AR,6.756124973,1,0,7909.420898,745.0910034,745.0910034,7827.183105,49.00373077,4863.394043,5.943221092,0.641340673,2.411990404,0.580846965,2.022481203,0.04749782,0.73535341,0.194071665,NA,NA,NA,0.264762044,0.003210379,0.033491533,0,0,0
F07,-18.95938,34.41,648450.222,7903073.504,100,1,0,5,2,2,2,2,1.5,1.5_SOW,AR,11.36116791,0,0,6150.91748,535.7481689,535.7481689,9519.87207,124.4126892,6101.339355,3.477823496,0.489021212,1.981283188,0.471026689,1.62198174,0.040314581,0.72360754,0.184397027,206.9846039,251.967453,232.902359,0,0.004362532,0.068252884,1,1,1
F09,-18.98048,34.4101,648442.0657,7900738.197,80,-5,1,20,4,1,4,1,2,2_OW,mix,13.6987772,0,0,4538.290039,2259.572998,2259.572754,11383.68262,39.83392334,4538.46582,2.534948826,0.253953964,1.161550164,0.347317427,0.586178184,0.012314692,0.272360742,0.10621646,211.6485443,249.2958527,233.0135956,0.443402618,0.002772897,0.038285106,1,1,1
F11,-19.00232,34.41034,648447.9686,7898320.868,70,1,0,50,0,0,0,0,3,3_CW,CA,8.956868172,0,0,3197.743408,143.9089966,143.9090424,13379.50391,746.3579102,3197.594238,5.813977242,0.601161182,2.371182919,0.642161429,2.624479532,0.0476771,0.620006025,0.157055736,NA,252.8254242,234.0349121,0,0,0,0,1,1
G02,-18.90452,34.42932,650533.7909,7909128.718,90,0,1,50,0,0,0,0,2,2_OW,AX_FA,2.878654242,0,0,12136.97754,495.9915771,495.9915771,3645.208496,105.378418,3645.208496,2.776843071,0.378112316,1.739449143,0.430747509,0.824313045,0.01832662,0.544705629,0.176282257,NA,NA,NA,0.043297254,0.008354548,0.050983317,0,0,0
G04,-18.92615,34.42925,650507.0552,7906734.895,90,-5,0,10,11,2,11,2,1.5,1.5_SOW,AR,4.025091648,0,0,10216.62305,155.8797455,155.8797607,5460.585449,94.62628937,5460.585449,2.598252535,0.308616787,1.439138293,0.405180335,1.582847595,0.036936108,0.731163025,0.188318178,NA,NA,NA,0.081598669,0.005678409,0.164605439,0,0,0
G06,-18.94765,34.42924,650486.7352,7904355.404,90,0,0,50,12,5,12,5,3,3_CW,AR,5.932429314,0,0,8529.407227,567.3311768,567.3311768,7245.40625,263.5492859,7190.611816,6.597892761,0.701013625,2.585664034,0.64918834,3.890924215,0.096402004,1.248202443,0.258101553,NA,NA,NA,0,0.000159362,0.020760072,0,0,0
G08,-18.96947,34.42969,650514.5428,7901940.099,60,-4,0,10,0,0,0,0,3,3_CW,CA,13.08799458,0,0,6908.936035,548.1933594,1647.722778,9214.438477,268.1579895,6908.899414,7.620366096,0.714106917,2.458861828,0.565570474,1.995836854,0.04455759,0.66117996,0.185336143,210.5040894,255,NA,0,0.000219123,0.006872907,1,1,0
G10,-18.99154,34.42987,650513.6656,7899497.349,90,0,0,1,0,0,0,0,4,4_F,SF,7.466636181,1,1,5517.103027,1963.144531,1963.144531,11351.12402,658.1550293,5517.181641,6.185592175,0.845715344,3.28369689,0.75618118,0.650291443,0.033557635,0.934397876,0.203567654,211,NA,233.3481598,0,0,0,1,0,1
G12,-19.01238,34.43031,650541.238,7897190.503,70,-4,0,5,1,2,1,2,2.5,2.5_OCW,CA,11.98894978,1,1,4352.904297,371.7093506,371.7093811,13415.93652,508.5629578,4352.748535,6.465770245,0.797942877,2.888306618,0.726898789,0.95920068,0.041637283,0.534229636,0.123048782,NA,254.5294647,233,0,0,0.003487353,0,1,1
H03,-18.9152,34.4492,652618.1837,7907929.663,70,0,1,5,3,2,3,2,2,2_OW,AX_FA,3.01256752,0,0,12524.76367,306.0230408,306.0230103,3121.831787,129.7256165,3121.831787,5.353406429,0.694589496,2.549755096,0.576882243,0.341382176,0.020091554,0.435278803,0.182711393,NA,NA,NA,0,0.000422309,0.030425742,0,0,0
H05,-18.93732,34.44904,652581.2445,7905481.669,110,1,0,5,0,3,0,3,2,2_OW,AX_FA,5.920670986,1,0,10794.59766,209.3375397,209.3375397,5119.650879,277.5779419,5119.650879,4.027271271,0.428151011,2.196941137,0.561592817,0.07910075,0.015450138,0.448865891,0.156320199,NA,NA,NA,0,0,0.058610786,0,0,0
H07,-18.95859,34.44962,652622.9841,7903127.104,70,-3,1,15,2,1,2,1,3,3_CW,CA,8.149168015,0,0,9312.182617,510.2637024,742.5864868,7169.78125,609.6887207,7169.78125,6.42790556,0.744911611,2.924491882,0.712726712,1.487926722,0.050442029,0.724337697,0.179535747,215.1467133,NA,NA,0,0,0.015800951,1,0,0
H09,-18.98015,34.45014,652658.1057,7900740.488,80,-2,0,30,0,0,0,0,2.5,2.5_OCW,mix,9.756672859,0,0,7968.538574,1863.477539,2119.033936,9301.130859,1445.314209,7968.654785,6.670201778,0.768338263,3.081100702,0.806342602,1.754371405,0.064828426,1.05768168,0.254577577,NA,NA,NA,0,0,0,0,0,0
H11,-19.00162,34.44932,652552.2044,7898364.99,90,0,1,10,0,0,0,0,3,3_CW,CA,11.1485157,1,1,6661.362305,1327.806519,1327.806519,11539.45117,309.3487549,6661.508789,6.599025249,0.702250779,2.982441425,0.846876383,2.791840076,0.045489859,0.779574931,0.206585616,NA,NA,231,0,0,0.007158617,0,0,1
H13,-19.02429,34.4497,652571.5229,7895855.634,80,-2,0,1,2,1,2,1,3.5,3.5_CWF,SF,11.95625019,1,1,4839.978027,982.9876709,982.9876709,13917.95313,548.0963745,4839.794434,8.273938179,0.970816791,3.79929018,0.910026491,0.742714405,0.047880288,1.094411254,0.245739281,279,258.4668274,NA,0,0,0.030198796,1,1,0
I04,-18.92486,34.4683,654621.1054,7906843.928,130,-1,1,15,3,2,0,0,1,1_SW,HY,6.030501366,1,0,13210.87695,161.636734,161.636734,2986.375488,155.223587,2986.375488,1.027848244,0.182049096,0.974995852,0.271399587,0.188176513,0.012047761,0.269360811,0.072940044,275.6463013,NA,NA,0,0.001835119,0.169059962,1,0,0
I06,-18.94756,34.46877,654649.7034,7904331.173,80,-3,0,30,3,2,3,2,1.5,1.5_SOW,AR,4.918306351,0,0,11661.52246,33.49628067,33.49626541,5216.693848,275.9990845,5216.693848,3.227524042,0.497625768,2.139041901,0.538348079,0.587010801,0.019848527,0.366692603,0.107408077,NA,NA,NA,0,0,0.128731012,0,0,0
I08,-18.96937,34.46918,654672.7672,7901916.965,70,-1,0,40,0,0,0,0,3,3_CW,AR,8.179292679,0,0,10286.1416,568.0446167,568.0445557,7515.662109,1030.25354,7515.662109,6.351608753,0.749171793,2.832531214,0.665581465,1.121565342,0.023489946,0.470833808,0.136028811,NA,NA,NA,0,0,0,0,0,0
I10,-18.99097,34.46956,654692.833,7899526.02,70,0,0,60,3,1,3,1,3,3_CW,mix,8.499647141,0,0,8661.104492,203.6202393,203.6202698,9846.06543,646.9886475,8660.878906,7.272213459,0.848821878,3.420169353,0.819279671,2.205662012,0.051362347,0.918826699,0.23784408,221,NA,NA,0,0,0,1,0,0
I12,-19.01319,34.46984,654701.766,7897066.538,90,-5,0,10,0,1,0,1,2,2_OW,mix,7.00595808,0,0,6264.157227,177.9171143,177.9170837,12246.1084,141.3412781,6263.84668,6.267465591,0.728963852,2.278998613,0.615199447,0.977518737,0.028964028,0.467500508,0.153402045,NA,NA,NA,0,0.006411152,0.155270383,0,0,0
I14,-19.03467,34.46753,654438.7419,7894691.23,60,-3,0,10,4,1,4,1,1,1_SW,AR,7.242540359,0,0,3917.032471,89.40283966,1996.669434,14344.68359,233.1652679,3916.698486,3.86796999,0.527041376,2.195584774,0.589541435,1.080766082,0.048302595,0.793717563,0.147810236,NA,NA,NA,0,0.003196467,0.038348597,0,0,0
J03,-18.91491,34.4889,656800.0799,7907926.996,120,-8,1,80,0,0,0,0,1,1_SW,AX_FA,4.020103931,0,0,15561.55078,66.76725006,66.76720428,1300.511719,67.22065735,1300.511719,3.192808867,0.2555857,1.326675653,0.237575606,2.804329634,0.040740874,0.762686312,0.117259361,NA,NA,NA,3.852388382,0.13127175,1.461053848,0,0,0
J05,-18.93744,34.48872,656760.1008,7905433.611,90,-6,1,20,3,2,0,0,2,2_OW,HY,8.045370102,1,0,14026.72266,318.0661926,318.0661621,3775.546143,46.66991043,3775.546143,4.116275311,0.642627776,2.689008713,0.617450953,1.027477145,0.043936081,0.666418016,0.14686811,275.0354004,NA,NA,0.538623512,0.019357292,0.186206147,1,0,0
J07,-18.95831,34.48913,656783.7834,7903123.421,90,-1,0,30,1,1,0,0,2,2_OW,mix,9.616213799,0,0,12661.01172,807.9243774,1357.388916,6082.573242,267.5183716,5530.512695,5.291854382,0.687251151,2.692433596,0.648853064,0.195670277,0.030872388,0.52899158,0.113329232,NA,NA,NA,0,0.000840662,0.01320636,0,0,0
J09,-18.97872,34.4887,656719.4201,7900864.884,70,-5,1,80,1,0,1,0,2,2_OW,mix,5.224422455,0,0,10497.93164,1641.689453,1641.689453,8036.055176,1072.070435,6296.487793,5.855882168,0.600488722,2.688606739,0.712892354,0.601165712,0.032800667,0.722401261,0.183276266,NA,NA,NA,0,0,0,0,0,0
J11,-19.00152,34.48963,656795.9875,7898340.612,60,-5,0,5,0,1,0,1,3.5,3.5_CWF,mix,7.272376537,0,0,8210.692383,664.5010986,679.3570557,10000.91113,370.190094,6714.063965,7.796405315,0.903255403,3.465418577,0.798963368,3.080765963,0.088075347,1.229742408,0.24681513,NA,NA,NA,0,0,0.002253932,0,0,0
J13,-19.02231,34.489,656710.1784,7896040.187,70,0,0,10,2,0,2,0,2,2_OW,AR,11.70416832,0,0,6168.531738,445.5891724,817.3772583,12043.17969,560.9272461,6168.431152,3.593016148,0.632477582,2.956791878,0.739475906,0.737718582,0.027796702,0.836462915,0.226212353,NA,NA,NA,0,0,0.066138029,0,0,0
K04,-18.92375,34.50578,658569.743,7906933.543,60,-7,0,40,0,0,0,0,1,1_SW,AX_FA,4.685237885,0,0,16365.44043,200.7979431,200.7979431,1982.598511,60.54699326,1857.147827,3.636953831,0.398635566,1.850120425,0.477857411,1.850957513,0.046422128,0.827605903,0.184344128,NA,NA,NA,0.158978373,0.019226896,0.66444242,0,0,0
K06,-18.94731,34.50857,658841.3202,7904323.474,60,1,0,1,5,1,0,0,3,3_CW,SF,11.5485754,1,0,14500.04004,1071.40686,1696.368774,4080.168213,519.4856567,3437.863525,6.253677845,0.71630156,2.871414423,0.752372205,1.318068266,0.026557663,0.459738731,0.149086684,276,NA,NA,0,0,0.018781915,1,0,0
K08,-18.9698,34.50842,658804.2283,7901834.466,70,-3,1,50,1,0,1,0,2,2_OW,mix,8.711377144,0,0,12237.89941,317.8890381,3289.301758,5976.55127,363.809021,3998.702148,5.935115814,0.707852066,2.837465525,0.705217302,1.10158205,0.035991888,0.571673453,0.177620575,NA,NA,NA,0,0,0.006116073,0,0,0
K10,-18.9911,34.50899,658844.0496,7899476.51,90,-2,0,1,5,1,5,1,3.5,3.5_CWF,mix,7.682173252,0,0,10211.96094,94.80702972,2150.32373,8021.797852,487.2791748,5032.851074,7.216845989,0.787115395,2.970449686,0.706012487,3.816819429,0.090382107,1.090030313,0.270764202,NA,NA,NA,0,0,0.002670473,0,0,0
K12,-19.01297,34.50941,658867.5015,7897055.597,70,-6,0,5,3,1,3,1,3,3_CW,CA,3.371484518,0,0,8245.503906,192.8620911,192.8621063,10265.48926,452.9571228,4466.737793,8.216071129,0.947158456,3.563918114,0.799907565,1.356369734,0.050704978,0.722877443,0.244484782,249,NA,NA,0,0,0.004634847,1,0,0
L05,-18.93517,34.52907,661011.8661,7905648.523,70,-4,0,50,0,0,0,0,1,1_SW,AX_FA,8.050823212,1,1,16641.90625,433.1827087,433.1827087,1608.008301,45.48457718,1899.064453,3.850501776,0.504966557,2.521977425,0.642147124,1.34887588,0.037880328,0.988000214,0.213573635,NA,NA,NA,0.362198174,0.005236005,0.112014905,0,0,0
L07,-18.95881,34.52905,660987.0825,7903032.102,120,-13,0,15,3,3,0,0,2,2_OW,HY,9.639801979,0,0,14362.95605,1427.905273,1427.905273,3923.118896,510.6742859,1509.30542,6.655777454,0.863314033,3.420427322,0.815141976,2.318068266,0.068748727,1.099776149,0.255220294,NA,NA,NA,0,0,0.00394363,0,0,0
L09,-18.97978,34.52872,660932.1973,7900711.471,60,-5,1,10,5,4,0,0,3,3_CW,CA,10.68013096,0,0,12401.68262,1387.560669,1414.371826,6169.813965,527.5548096,2617.431885,6.280557156,0.842493236,3.288264751,0.792927802,1.972522855,0.06196788,0.950794458,0.228602573,272.8461304,NA,255.5098267,0,0,0.008711765,1,0,1
L11,-19.00148,34.52897,660937.6591,7898309.509,90,-3,1,5,7,2,7,2,3,3_CW,CA,10.1283226,0,0,10558.91699,131.6677704,131.6677704,8526.775391,78.83039856,2780.582031,8.216459274,0.928952873,3.434249878,0.828301311,1.108243108,0.067629211,0.920969486,0.25103268,269.5016479,NA,256.0942383,0.192339718,0.000920315,0.075316265,1,0,1
L13,-19.02311,34.5293,660951.5797,7895915.216,60,-8,0,5,5,0,5,0,3.5,3.5_CWF,CA,6.25740242,0,0,8739.50293,509.1464844,1511.789795,10896.46582,357.7865295,2432.866699,8.112223625,0.947109997,3.588551283,0.902288139,0.731057465,0.019314663,0.441850126,0.153307229,NA,NA,256.6468811,0,0,0.017761623,0,0,1
M08,-18.96881,34.54853,663028.7186,7901907.404,90,0,0,20,0,0,0,0,2,2_OW,CA,8.73451519,0,0,14637.6543,222.8320007,222.8320007,4858.80957,223.0332947,305.3533325,7.468054771,0.841088235,3.327785492,0.79626739,2.589508772,0.054083452,1.070427418,0.244496763,NA,261,NA,0,0.015189133,0.37240234,0,1,0
M10,-18.99093,34.54668,662812.4137,7899460.883,70,1,0,15,3,1,3,1,2,2_OW,HY,11.28437614,0,0,12624.13281,731.1986084,731.1986694,7277.035645,248.730011,1668.430664,7.036826611,0.723907053,2.746827364,0.737483025,2.004995823,0.037505828,0.486976385,0.187746316,276.3685608,NA,256.8753662,0,0.003226195,0.187365189,1,0,1
