,X,Camera,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,Sunrise,Sunset,Time.Numeric,Sunrise.Numeric,Sunset.Numeric,TimePeriod
2588,5143,A08,Baboon,1/7/17 5:51,1/7/17,5:51:41,72811,1214,20.2,0.8,Complete/A08/Baboon,01070562.JPG,5:12:16,18:24:51,5.861388889,5.204444444,18.41416667,Day
2589,5144,A08,Baboon,1/7/17 5:51,1/7/17,5:51:42,1,0,0,0,Complete/A08/Baboon,01070563.JPG,5:12:16,18:24:51,5.861666667,5.204444444,18.41416667,Day
2607,5145,A08,Baboon,1/7/17 5:52,1/7/17,5:52:17,35,1,0,0,Complete/A08/Baboon,01070564.JPG,5:12:16,18:24:51,5.871388889,5.204444444,18.41416667,Day
2610,5146,A08,Baboon,1/7/17 5:52,1/7/17,5:52:19,2,0,0,0,Complete/A08/Baboon,01070565.JPG,5:12:16,18:24:51,5.871944444,5.204444444,18.41416667,Day
2001,5070,A08,Baboon,11/22/16 5:29,11/22/16,5:29:48,486142,8102,135,5.6,Complete/A08/Baboon,11220053.JPG,4:55:30,18:01:23,5.496666667,4.925,18.02305556,Day
2003,5071,A08,Baboon,11/22/16 5:29,11/22/16,5:29:49,1,0,0,0,Complete/A08/Baboon,11220054.JPG,4:55:30,18:01:23,5.496944444,4.925,18.02305556,Day
2435,5072,A08,Baboon,11/24/16 5:47,11/24/16,5:47:43,173874,2898,48.3,2,Complete/A08/Baboon,11240061.JPG,4:55:25,18:02:36,5.795277778,4.923611111,18.04333333,Day
2437,5073,A08,Baboon,11/24/16 5:47,11/24/16,5:47:45,2,0,0,0,Complete/A08/Baboon,11240062.JPG,4:55:25,18:02:36,5.795833333,4.923611111,18.04333333,Day
2770,5096,A08,Baboon,12/17/16 5:57,12/17/16,5:57:02,330880,5515,91.9,3.8,Complete/A08/Baboon,12170177.JPG,5:00:29,18:16:34,5.950555556,5.008055556,18.27611111,Day
2772,5097,A08,Baboon,12/17/16 5:57,12/17/16,5:57:04,2,0,0,0,Complete/A08/Baboon,12170178.JPG,5:00:29,18:16:34,5.951111111,5.008055556,18.27611111,Day
2791,5098,A08,Baboon,12/17/16 5:57,12/17/16,5:57:39,35,1,0,0,Complete/A08/Baboon,12170179.JPG,5:00:29,18:16:34,5.960833333,5.008055556,18.27611111,Day
2793,5099,A08,Baboon,12/17/16 5:57,12/17/16,5:57:41,2,0,0,0,Complete/A08/Baboon,12170180.JPG,5:00:29,18:16:34,5.961388889,5.008055556,18.27611111,Day
2813,5100,A08,Baboon,12/17/16 5:58,12/17/16,5:58:14,33,1,0,0,Complete/A08/Baboon,12170181.JPG,5:00:29,18:16:34,5.970555556,5.008055556,18.27611111,Day
2816,5101,A08,Baboon,12/17/16 5:58,12/17/16,5:58:18,4,0,0,0,Complete/A08/Baboon,12170182.JPG,5:00:29,18:16:34,5.971666667,5.008055556,18.27611111,Day
2839,5102,A08,Baboon,12/17/16 5:59,12/17/16,5:59:09,51,1,0,0,Complete/A08/Baboon,12170183.JPG,5:00:29,18:16:34,5.985833333,5.008055556,18.27611111,Day
2840,5103,A08,Baboon,12/17/16 5:59,12/17/16,5:59:09,51,1,0,0,Complete/A08/Baboon,12170184.JPG,5:00:29,18:16:34,5.985833333,5.008055556,18.27611111,Day
2233,5112,A08,Baboon,12/20/16 5:40,12/20/16,5:40:58,77242,1287,21.4,0.9,Complete/A08/Baboon,12200219.JPG,5:01:51,18:18:09,5.682777778,5.030833333,18.3025,Day
2234,5113,A08,Baboon,12/20/16 5:41,12/20/16,5:41:00,2,0,0,0,Complete/A08/Baboon,12200220.JPG,5:01:51,18:18:09,5.683333333,5.030833333,18.3025,Day
2265,5114,A08,Baboon,12/20/16 5:42,12/20/16,5:42:18,78,1,0,0,Complete/A08/Baboon,12200221.JPG,5:01:51,18:18:09,5.705,5.030833333,18.3025,Day
2590,5115,A08,Baboon,12/20/16 5:51,12/20/16,5:51:47,569,9,0.2,0,Complete/A08/Baboon,12200223.JPG,5:01:51,18:18:09,5.863055556,5.030833333,18.3025,Day
2591,5116,A08,Baboon,12/20/16 5:51,12/20/16,5:51:47,569,9,0.2,0,Complete/A08/Baboon,12200224.JPG,5:01:51,18:18:09,5.863055556,5.030833333,18.3025,Day
1854,11683,A10,Baboon,11/11/16 5:21,11/11/16,5:21:11,0,0,0,0,Complete/A10/Baboon,11110091.JPG,4:57:31,17:55:00,5.353055556,4.958611111,17.91666667,Day
1855,11684,A10,Baboon,11/11/16 5:21,11/11/16,5:21:13,2,0,0,0,Complete/A10/Baboon,11110092.JPG,4:57:31,17:55:00,5.353611111,4.958611111,17.91666667,Day
1942,11685,A10,Baboon,11/11/16 5:25,11/11/16,5:25:53,280,5,0.1,0,Complete/A10/Baboon,11110093.JPG,4:57:31,17:55:00,5.431388889,4.958611111,17.91666667,Day
1943,11686,A10,Baboon,11/11/16 5:25,11/11/16,5:25:54,1,0,0,0,Complete/A10/Baboon,11110094.JPG,4:57:31,17:55:00,5.431666667,4.958611111,17.91666667,Day
2082,11707,A10,Baboon,11/12/16 5:33,11/12/16,5:33:22,48265,804,13.4,0.6,Complete/A10/Baboon,11120131.JPG,4:57:14,17:55:32,5.556111111,4.953888889,17.92555556,Day
2083,11708,A10,Baboon,11/12/16 5:33,11/12/16,5:33:22,48265,804,13.4,0.6,Complete/A10/Baboon,11120132.JPG,4:57:14,17:55:32,5.556111111,4.953888889,17.92555556,Day
2297,11709,A10,Baboon,11/12/16 5:43,11/12/16,5:43:59,637,11,0.2,0,Complete/A10/Baboon,11120133.JPG,4:57:14,17:55:32,5.733055556,4.953888889,17.92555556,Day
2299,11710,A10,Baboon,11/12/16 5:44,11/12/16,5:44:00,1,0,0,0,Complete/A10/Baboon,11120134.JPG,4:57:14,17:55:32,5.733333333,4.953888889,17.92555556,Day
2321,11711,A10,Baboon,11/12/16 5:44,11/12/16,5:44:40,40,1,0,0,Complete/A10/Baboon,11120135.JPG,4:57:14,17:55:32,5.744444444,4.953888889,17.92555556,Day
2322,11712,A10,Baboon,11/12/16 5:44,11/12/16,5:44:41,1,0,0,0,Complete/A10/Baboon,11120136.JPG,4:57:14,17:55:32,5.744722222,4.953888889,17.92555556,Day
2429,11713,A10,Baboon,11/13/16 5:47,11/13/16,5:47:34,86573,1443,24.1,1,Complete/A10/Baboon,11130175.JPG,4:56:58,17:56:06,5.792777778,4.949444444,17.935,Day
2430,11714,A10,Baboon,11/13/16 5:47,11/13/16,5:47:34,86573,1443,24.1,1,Complete/A10/Baboon,11130176.JPG,4:56:58,17:56:06,5.792777778,4.949444444,17.935,Day
2465,11715,A10,Baboon,11/13/16 5:48,11/13/16,5:48:12,38,1,0,0,Complete/A10/Baboon,11130177.JPG,4:56:58,17:56:06,5.803333333,4.949444444,17.935,Day
2467,11716,A10,Baboon,11/13/16 5:48,11/13/16,5:48:14,2,0,0,0,Complete/A10/Baboon,11130178.JPG,4:56:58,17:56:06,5.803888889,4.949444444,17.935,Day
2490,11717,A10,Baboon,11/13/16 5:48,11/13/16,5:48:50,36,1,0,0,Complete/A10/Baboon,11130179.JPG,4:56:58,17:56:06,5.813888889,4.949444444,17.935,Day
2492,11718,A10,Baboon,11/13/16 5:48,11/13/16,5:48:51,1,0,0,0,Complete/A10/Baboon,11130180.JPG,4:56:58,17:56:06,5.814166667,4.949444444,17.935,Day
2507,11719,A10,Baboon,11/13/16 5:49,11/13/16,5:49:29,38,1,0,0,Complete/A10/Baboon,11130181.JPG,4:56:58,17:56:06,5.824722222,4.949444444,17.935,Day
2509,11720,A10,Baboon,11/13/16 5:49,11/13/16,5:49:30,1,0,0,0,Complete/A10/Baboon,11130182.JPG,4:56:58,17:56:06,5.825,4.949444444,17.935,Day
2533,11721,A10,Baboon,11/13/16 5:50,11/13/16,5:50:10,40,1,0,0,Complete/A10/Baboon,11130183.JPG,4:56:58,17:56:06,5.836111111,4.949444444,17.935,Day
2534,11722,A10,Baboon,11/13/16 5:50,11/13/16,5:50:10,40,1,0,0,Complete/A10/Baboon,11130184.JPG,4:56:58,17:56:06,5.836111111,4.949444444,17.935,Day
2552,11723,A10,Baboon,11/13/16 5:50,11/13/16,5:50:44,34,1,0,0,Complete/A10/Baboon,11130185.JPG,4:56:58,17:56:06,5.845555556,4.949444444,17.935,Day
2553,11724,A10,Baboon,11/13/16 5:50,11/13/16,5:50:44,34,1,0,0,Complete/A10/Baboon,11130186.JPG,4:56:58,17:56:06,5.845555556,4.949444444,17.935,Day
2570,11725,A10,Baboon,11/13/16 5:51,11/13/16,5:51:18,34,1,0,0,Complete/A10/Baboon,11130187.JPG,4:56:58,17:56:06,5.855,4.949444444,17.935,Day
2571,11726,A10,Baboon,11/13/16 5:51,11/13/16,5:51:19,1,0,0,0,Complete/A10/Baboon,11130188.JPG,4:56:58,17:56:06,5.855277778,4.949444444,17.935,Day
1777,11743,A10,Baboon,11/16/16 5:15,11/16/16,5:15:53,53517,892,14.9,0.6,Complete/A10/Baboon,11160331.JPG,4:56:17,17:57:48,5.264722222,4.938055556,17.96333333,Day
1780,11744,A10,Baboon,11/16/16 5:15,11/16/16,5:15:55,2,0,0,0,Complete/A10/Baboon,11160332.JPG,4:56:17,17:57:48,5.265277778,4.938055556,17.96333333,Day
1739,11781,A10,Baboon,11/26/16 5:11,11/26/16,5:11:43,134963,2249,37.5,1.6,Complete/A10/Baboon,11260579.JPG,4:55:26,18:03:51,5.195277778,4.923888889,18.06416667,Day
1742,11782,A10,Baboon,11/26/16 5:11,11/26/16,5:11:45,2,0,0,0,Complete/A10/Baboon,11260580.JPG,4:55:26,18:03:51,5.195833333,4.923888889,18.06416667,Day
1759,11789,A10,Baboon,12/4/16 5:13,12/4/16,5:13:48,342665,5711,95.2,4,Complete/A10/Baboon,12040671.JPG,4:56:19,18:08:52,5.23,4.938611111,18.14777778,Day
1761,11790,A10,Baboon,12/4/16 5:13,12/4/16,5:13:49,1,0,0,0,Complete/A10/Baboon,12040672.JPG,4:56:19,18:08:52,5.230277778,4.938611111,18.14777778,Day
1665,11791,A10,Baboon,12/11/16 5:05,12/11/16,5:05:26,604297,10072,167.9,7,Complete/A10/Baboon,12110048.JPG,4:58:10,18:13:09,5.090555556,4.969444444,18.21916667,Day
1667,11792,A10,Baboon,12/11/16 5:05,12/11/16,5:05:28,2,0,0,0,Complete/A10/Baboon,12110049.JPG,4:58:10,18:13:09,5.091111111,4.969444444,18.21916667,Day
1860,22637,B09,Baboon,12/17/16 5:21,12/17/16,5:21:28,79074,1318,22,0.9,Complete/B09/Baboon,12170255.JPG,5:00:29,18:16:34,5.357777778,5.008055556,18.27611111,Day
1863,22638,B09,Baboon,12/17/16 5:21,12/17/16,5:21:30,2,0,0,0,Complete/B09/Baboon,12170256.JPG,5:00:29,18:16:34,5.358333333,5.008055556,18.27611111,Day
1955,22639,B09,Baboon,12/19/16 5:26,12/19/16,5:26:47,173117,2885,48.1,2,Complete/B09/Baboon,12190269.JPG,5:01:23,18:17:38,5.446388889,5.023055556,18.29388889,Day
1957,22640,B09,Baboon,12/19/16 5:26,12/19/16,5:26:49,2,0,0,0,Complete/B09/Baboon,12190270.JPG,5:01:23,18:17:38,5.446944444,5.023055556,18.29388889,Day
2077,22641,B09,Baboon,12/19/16 5:32,12/19/16,5:32:53,364,6,0.1,0,Complete/B09/Baboon,12190271.JPG,5:01:23,18:17:38,5.548055556,5.023055556,18.29388889,Day
2078,22642,B09,Baboon,12/19/16 5:32,12/19/16,5:32:55,2,0,0,0,Complete/B09/Baboon,12190272.JPG,5:01:23,18:17:38,5.548611111,5.023055556,18.29388889,Day
2126,22643,B09,Baboon,12/19/16 5:36,12/19/16,5:36:17,202,3,0,0,Complete/B09/Baboon,12190273.JPG,5:01:23,18:17:38,5.604722222,5.023055556,18.29388889,Day
2127,22644,B09,Baboon,12/19/16 5:36,12/19/16,5:36:19,2,0,0,0,Complete/B09/Baboon,12190274.JPG,5:01:23,18:17:38,5.605277778,5.023055556,18.29388889,Day
2153,22645,B09,Baboon,12/19/16 5:37,12/19/16,5:37:54,95,2,0,0,Complete/B09/Baboon,12190275.JPG,5:01:23,18:17:38,5.631666667,5.023055556,18.29388889,Day
2154,22646,B09,Baboon,12/19/16 5:37,12/19/16,5:37:56,2,0,0,0,Complete/B09/Baboon,12190276.JPG,5:01:23,18:17:38,5.632222222,5.023055556,18.29388889,Day
2856,22647,B09,Baboon,12/19/16 5:59,12/19/16,5:59:51,1315,22,0.4,0,Complete/B09/Baboon,12190277.JPG,5:01:23,18:17:38,5.9975,5.023055556,18.29388889,Day
2857,22648,B09,Baboon,12/19/16 5:59,12/19/16,5:59:54,3,0,0,0,Complete/B09/Baboon,12190278.JPG,5:01:23,18:17:38,5.998333333,5.023055556,18.29388889,Day
2460,22661,B09,Baboon,12/22/16 5:48,12/22/16,5:48:05,83395,1390,23.2,1,Complete/B09/Baboon,12220347.JPG,5:02:51,18:19:08,5.801388889,5.0475,18.31888889,Day
2461,22662,B09,Baboon,12/22/16 5:48,12/22/16,5:48:07,2,0,0,0,Complete/B09/Baboon,12220348.JPG,5:02:51,18:19:08,5.801944444,5.0475,18.31888889,Day
2688,22663,B09,Baboon,12/22/16 5:54,12/22/16,5:54:12,365,6,0.1,0,Complete/B09/Baboon,12220349.JPG,5:02:51,18:19:08,5.903333333,5.0475,18.31888889,Day
2689,22664,B09,Baboon,12/22/16 5:54,12/22/16,5:54:13,1,0,0,0,Complete/B09/Baboon,12220350.JPG,5:02:51,18:19:08,5.903611111,5.0475,18.31888889,Day
2711,22665,B09,Baboon,12/22/16 5:54,12/22/16,5:54:44,31,1,0,0,Complete/B09/Baboon,12220351.JPG,5:02:51,18:19:08,5.912222222,5.0475,18.31888889,Day
2713,22666,B09,Baboon,12/22/16 5:54,12/22/16,5:54:46,2,0,0,0,Complete/B09/Baboon,12220352.JPG,5:02:51,18:19:08,5.912777778,5.0475,18.31888889,Day
2736,22667,B09,Baboon,12/22/16 5:55,12/22/16,5:55:51,65,1,0,0,Complete/B09/Baboon,12220353.JPG,5:02:51,18:19:08,5.930833333,5.0475,18.31888889,Day
2737,22668,B09,Baboon,12/22/16 5:55,12/22/16,5:55:53,2,0,0,0,Complete/B09/Baboon,12220354.JPG,5:02:51,18:19:08,5.931388889,5.0475,18.31888889,Day
2356,22711,B09,Baboon,12/27/16 5:45,12/27/16,5:45:38,79271,1321,22,0.9,Complete/B09/Baboon,12270266.JPG,5:05:33,18:21:23,5.760555556,5.0925,18.35638889,Day
2359,22712,B09,Baboon,12/27/16 5:45,12/27/16,5:45:40,2,0,0,0,Complete/B09/Baboon,12270267.JPG,5:05:33,18:21:23,5.761111111,5.0925,18.35638889,Day
2777,22713,B09,Baboon,12/27/16 5:57,12/27/16,5:57:05,685,11,0.2,0,Complete/B09/Baboon,12270268.JPG,5:05:33,18:21:23,5.951388889,5.0925,18.35638889,Day
2779,22714,B09,Baboon,12/27/16 5:57,12/27/16,5:57:07,2,0,0,0,Complete/B09/Baboon,12270269.JPG,5:05:33,18:21:23,5.951944444,5.0925,18.35638889,Day
1814,26868,C06,Baboon,12/10/16 5:19,12/10/16,5:19:15,140123,2335,38.9,1.6,Complete/C06/Baboon,12100121.JPG,4:57:50,18:12:33,5.320833333,4.963888889,18.20916667,Day
1815,26869,C06,Baboon,12/10/16 5:19,12/10/16,5:19:17,2,0,0,0,Complete/C06/Baboon,12100122.JPG,4:57:50,18:12:33,5.321388889,4.963888889,18.20916667,Day
2896,27800,C08,Baboon,1/3/17 17:31,1/3/17,17:31:29,18847,314,5.2,0.2,Complete/C08/Baboon,01030375.JPG,5:09:44,18:23:50,17.52472222,5.162222222,18.39722222,Day
2898,27801,C08,Baboon,1/3/17 17:31,1/3/17,17:31:31,2,0,0,0,Complete/C08/Baboon,01030376.JPG,5:09:44,18:23:50,17.52527778,5.162222222,18.39722222,Day
2916,27802,C08,Baboon,1/3/17 17:32,1/3/17,17:32:19,48,1,0,0,Complete/C08/Baboon,01030377.JPG,5:09:44,18:23:50,17.53861111,5.162222222,18.39722222,Day
2975,27807,C08,Baboon,1/7/17 17:35,1/7/17,17:35:01,194829,3247,54.1,2.3,Complete/C08/Baboon,01070413.JPG,5:12:16,18:24:51,17.58361111,5.204444444,18.41416667,Day
2976,27808,C08,Baboon,1/7/17 17:35,1/7/17,17:35:04,3,0,0,0,Complete/C08/Baboon,01070414.JPG,5:12:16,18:24:51,17.58444444,5.204444444,18.41416667,Day
3424,27830,C08,Baboon,3/3/17 18:12,3/3/17,18:12:32,471157,7853,130.9,5.5,Complete/C08/Baboon,03030887.JPG,5:41:21,18:06:53,18.20888889,5.689166667,18.11472222,Night
3425,27831,C08,Baboon,3/3/17 18:12,3/3/17,18:12:35,3,0,0,0,Complete/C08/Baboon,03030888.JPG,5:41:21,18:06:53,18.20972222,5.689166667,18.11472222,Night
2421,27876,C08,Baboon,4/24/17 5:47,4/24/17,5:47:21,244992,4083,68,2.8,Complete/C08/Baboon,04240254.JPG,5:54:54,17:25:47,5.789166667,5.915,17.42972222,Night
2423,27877,C08,Baboon,4/24/17 5:47,4/24/17,5:47:22,1,0,0,0,Complete/C08/Baboon,04240255.JPG,5:54:54,17:25:47,5.789444444,5.915,17.42972222,Night
3400,30342,D05,Baboon,1/9/17 18:07,1/9/17,18:07:28,275624,4594,76.6,3.2,Complete/D05/Baboon,01090094.JPG,5:13:34,18:25:14,18.12444444,5.226111111,18.42055556,Day
3401,30343,D05,Baboon,1/9/17 18:07,1/9/17,18:07:30,2,0,0,0,Complete/D05/Baboon,01090095.JPG,5:13:34,18:25:14,18.125,5.226111111,18.42055556,Day
3023,30321,D05,Baboon,12/20/16 17:37,12/20/16,17:37:36,125767,2096,34.9,1.5,Complete/D05/Baboon,12200729.JPG,5:01:51,18:18:09,17.62666667,5.030833333,18.3025,Day
3024,30322,D05,Baboon,12/20/16 17:37,12/20/16,17:37:38,2,0,0,0,Complete/D05/Baboon,12200730.JPG,5:01:51,18:18:09,17.62722222,5.030833333,18.3025,Day
3136,30323,D05,Baboon,12/20/16 17:46,12/20/16,17:46:06,508,8,0.1,0,Complete/D05/Baboon,12200731.JPG,5:01:51,18:18:09,17.76833333,5.030833333,18.3025,Day
3137,30324,D05,Baboon,12/20/16 17:46,12/20/16,17:46:09,3,0,0,0,Complete/D05/Baboon,12200732.JPG,5:01:51,18:18:09,17.76916667,5.030833333,18.3025,Day
2200,30325,D05,Baboon,12/29/16 5:39,12/29/16,5:39:48,734019,12234,203.9,8.5,Complete/D05/Baboon,12290843.JPG,5:06:42,18:22:10,5.663333333,5.111666667,18.36944444,Day
2202,30326,D05,Baboon,12/29/16 5:39,12/29/16,5:39:50,2,0,0,0,Complete/D05/Baboon,12290844.JPG,5:06:42,18:22:10,5.663888889,5.111666667,18.36944444,Day
2226,30327,D05,Baboon,12/29/16 5:40,12/29/16,5:40:53,63,1,0,0,Complete/D05/Baboon,12290845.JPG,5:06:42,18:22:10,5.681388889,5.111666667,18.36944444,Day
2229,30328,D05,Baboon,12/29/16 5:40,12/29/16,5:40:55,2,0,0,0,Complete/D05/Baboon,12290846.JPG,5:06:42,18:22:10,5.681944444,5.111666667,18.36944444,Day
2246,30329,D05,Baboon,12/29/16 5:41,12/29/16,5:41:32,37,1,0,0,Complete/D05/Baboon,12290847.JPG,5:06:42,18:22:10,5.692222222,5.111666667,18.36944444,Day
2250,30330,D05,Baboon,12/29/16 5:41,12/29/16,5:41:34,2,0,0,0,Complete/D05/Baboon,12290848.JPG,5:06:42,18:22:10,5.692777778,5.111666667,18.36944444,Day
2270,30331,D05,Baboon,12/29/16 5:42,12/29/16,5:42:27,53,1,0,0,Complete/D05/Baboon,12290849.JPG,5:06:42,18:22:10,5.7075,5.111666667,18.36944444,Day
2271,30332,D05,Baboon,12/29/16 5:42,12/29/16,5:42:29,2,0,0,0,Complete/D05/Baboon,12290850.JPG,5:06:42,18:22:10,5.708055556,5.111666667,18.36944444,Day
2276,30333,D05,Baboon,12/29/16 5:43,12/29/16,5:43:00,31,1,0,0,Complete/D05/Baboon,12290851.JPG,5:06:42,18:22:10,5.716666667,5.111666667,18.36944444,Day
1630,31467,D07,Baboon,12/15/16 5:00,12/15/16,5:00:23,224905,3748,62.5,2.6,Complete/D07/Baboon,12150779.JPG,4:59:38,18:15:28,5.006388889,4.993888889,18.25777778,Day
1631,31468,D07,Baboon,12/15/16 5:00,12/15/16,5:00:24,1,0,0,0,Complete/D07/Baboon,12150780.JPG,4:59:38,18:15:28,5.006666667,4.993888889,18.25777778,Day
2257,50455,D09,Baboon,11/18/16 5:42,11/18/16,5:42:09,253624,4227,70.5,2.9,Complete/D09/Baboon,11180047.JPG,4:55:56,17:58:58,5.7025,4.932222222,17.98277778,Day
2259,50456,D09,Baboon,11/18/16 5:42,11/18/16,5:42:11,2,0,0,0,Complete/D09/Baboon,11180048.JPG,4:55:56,17:58:58,5.703055556,4.932222222,17.98277778,Day
2960,50892,E02,Baboon,2/17/17 17:34,2/17/17,17:34:30,276238,4604,76.7,3.2,Complete/E02/Baboon,02170771.JPG,5:36:05,18:16:22,17.575,5.601388889,18.27277778,Day
2963,50893,E02,Baboon,2/17/17 17:34,2/17/17,17:34:34,4,0,0,0,Complete/E02/Baboon,02170772.JPG,5:36:05,18:16:22,17.57611111,5.601388889,18.27277778,Day
3396,50894,E02,Baboon,2/17/17 18:07,2/17/17,18:07:23,1969,33,0.6,0,Complete/E02/Baboon,02170773.JPG,5:36:05,18:16:22,18.12305556,5.601388889,18.27277778,Day
3397,50895,E02,Baboon,2/17/17 18:07,2/17/17,18:07:24,1,0,0,0,Complete/E02/Baboon,02170774.JPG,5:36:05,18:16:22,18.12333333,5.601388889,18.27277778,Day
3364,50970,E02,Baboon,2/18/17 18:03,2/18/17,18:03:47,11473,191,3.2,0.1,Complete/E02/Baboon,02180592.JPG,5:36:31,18:15:46,18.06305556,5.608611111,18.26277778,Day
3365,50971,E02,Baboon,2/18/17 18:03,2/18/17,18:03:49,2,0,0,0,Complete/E02/Baboon,02180593.JPG,5:36:31,18:15:46,18.06361111,5.608611111,18.26277778,Day
2948,50659,E02,Baboon,11/7/16 17:34,11/7/16,17:34:01,9272,155,2.6,0.1,Complete/E02/Baboon,11070503.JPG,4:58:53,17:52:53,17.56694444,4.981388889,17.88138889,Day
2950,50660,E02,Baboon,11/7/16 17:34,11/7/16,17:34:03,2,0,0,0,Complete/E02/Baboon,11070504.JPG,4:58:53,17:52:53,17.5675,4.981388889,17.88138889,Day
1632,50661,E02,Baboon,11/8/16 5:00,11/8/16,5:00:34,41191,687,11.4,0.5,Complete/E02/Baboon,11080509.JPG,4:58:31,17:53:24,5.009444444,4.975277778,17.89,Day
1633,50662,E02,Baboon,11/8/16 5:00,11/8/16,5:00:36,2,0,0,0,Complete/E02/Baboon,11080510.JPG,4:58:31,17:53:24,5.01,4.975277778,17.89,Day
1660,50663,E02,Baboon,11/8/16 5:04,11/8/16,5:04:53,257,4,0.1,0,Complete/E02/Baboon,11080511.JPG,4:58:31,17:53:24,5.081388889,4.975277778,17.89,Day
2436,50664,E02,Baboon,11/10/16 5:47,11/10/16,5:47:44,175371,2923,48.7,2,Complete/E02/Baboon,11100621.JPG,4:57:50,17:54:27,5.795555556,4.963888889,17.9075,Day
2013,50734,E02,Baboon,11/17/16 5:30,11/17/16,5:30:09,60762,1013,16.9,0.7,Complete/E02/Baboon,11170971.JPG,4:56:06,17:58:23,5.5025,4.935,17.97305556,Day
2014,50735,E02,Baboon,11/17/16 5:30,11/17/16,5:30:11,2,0,0,0,Complete/E02/Baboon,11170972.JPG,4:56:06,17:58:23,5.503055556,4.935,17.97305556,Day
1676,50736,E02,Baboon,11/19/16 5:06,11/19/16,5:06:36,171385,2856,47.6,2,Complete/E02/Baboon,11190106.JPG,4:55:48,17:59:34,5.11,4.93,17.99277778,Day
1677,50737,E02,Baboon,11/19/16 5:06,11/19/16,5:06:37,1,0,0,0,Complete/E02/Baboon,11190107.JPG,4:55:48,17:59:34,5.110277778,4.93,17.99277778,Day
1697,50738,E02,Baboon,11/19/16 5:08,11/19/16,5:08:07,90,2,0,0,Complete/E02/Baboon,11190108.JPG,4:55:48,17:59:34,5.135277778,4.93,17.99277778,Day
1699,50739,E02,Baboon,11/19/16 5:08,11/19/16,5:08:09,2,0,0,0,Complete/E02/Baboon,11190109.JPG,4:55:48,17:59:34,5.135833333,4.93,17.99277778,Day
1719,50740,E02,Baboon,11/19/16 5:10,11/19/16,5:10:17,128,2,0,0,Complete/E02/Baboon,11190110.JPG,4:55:48,17:59:34,5.171388889,4.93,17.99277778,Day
1720,50741,E02,Baboon,11/19/16 5:10,11/19/16,5:10:19,2,0,0,0,Complete/E02/Baboon,11190111.JPG,4:55:48,17:59:34,5.171944444,4.93,17.99277778,Day
1733,50742,E02,Baboon,11/19/16 5:11,11/19/16,5:11:20,61,1,0,0,Complete/E02/Baboon,11190112.JPG,4:55:48,17:59:34,5.188888889,4.93,17.99277778,Day
1734,50743,E02,Baboon,11/19/16 5:11,11/19/16,5:11:22,2,0,0,0,Complete/E02/Baboon,11190113.JPG,4:55:48,17:59:34,5.189444444,4.93,17.99277778,Day
1749,50744,E02,Baboon,11/19/16 5:12,11/19/16,5:12:56,94,2,0,0,Complete/E02/Baboon,11190114.JPG,4:55:48,17:59:34,5.215555556,4.93,17.99277778,Day
1750,50745,E02,Baboon,11/19/16 5:12,11/19/16,5:12:58,2,0,0,0,Complete/E02/Baboon,11190115.JPG,4:55:48,17:59:34,5.216111111,4.93,17.99277778,Day
1771,50746,E02,Baboon,11/19/16 5:14,11/19/16,5:14:26,88,1,0,0,Complete/E02/Baboon,11190116.JPG,4:55:48,17:59:34,5.240555556,4.93,17.99277778,Day
1772,50747,E02,Baboon,11/19/16 5:14,11/19/16,5:14:28,2,0,0,0,Complete/E02/Baboon,11190117.JPG,4:55:48,17:59:34,5.241111111,4.93,17.99277778,Day
2924,50796,E02,Baboon,12/6/16 17:33,12/6/16,17:33:05,490,8,0.1,0,Complete/E02/Baboon,12060740.JPG,4:56:44,18:10:07,17.55138889,4.945555556,18.16861111,Day
2925,50797,E02,Baboon,12/6/16 17:33,12/6/16,17:33:06,1,0,0,0,Complete/E02/Baboon,12060741.JPG,4:56:44,18:10:07,17.55166667,4.945555556,18.16861111,Day
2938,50798,E02,Baboon,12/6/16 17:33,12/6/16,17:33:37,31,1,0,0,Complete/E02/Baboon,12060742.JPG,4:56:44,18:10:07,17.56027778,4.945555556,18.16861111,Day
2939,50799,E02,Baboon,12/6/16 17:33,12/6/16,17:33:38,1,0,0,0,Complete/E02/Baboon,12060743.JPG,4:56:44,18:10:07,17.56055556,4.945555556,18.16861111,Day
2988,50800,E02,Baboon,12/6/16 17:35,12/6/16,17:35:37,119,2,0,0,Complete/E02/Baboon,12060744.JPG,4:56:44,18:10:07,17.59361111,4.945555556,18.16861111,Day
2992,50801,E02,Baboon,12/6/16 17:35,12/6/16,17:35:39,2,0,0,0,Complete/E02/Baboon,12060745.JPG,4:56:44,18:10:07,17.59416667,4.945555556,18.16861111,Day
3013,50802,E02,Baboon,12/6/16 17:36,12/6/16,17:36:50,71,1,0,0,Complete/E02/Baboon,12060746.JPG,4:56:44,18:10:07,17.61388889,4.945555556,18.16861111,Day
3014,50803,E02,Baboon,12/6/16 17:36,12/6/16,17:36:52,2,0,0,0,Complete/E02/Baboon,12060747.JPG,4:56:44,18:10:07,17.61444444,4.945555556,18.16861111,Day
3229,50857,E02,Baboon,12/24/16 17:53,12/24/16,17:53:50,348413,5807,96.8,4,Complete/E02/Baboon,12240056.JPG,5:03:53,18:20:05,17.89722222,5.064722222,18.33472222,Day
