SppCode,GenusLatin,SpeciesLatin,CommName,Diet,Weight,Sociality,Family,Order,Activity_pattern,Sociality,Mass_category,Trophic_level,Guild_Pansu,Pansu_included,Pansu_percent_gras_RRA,Pansu_pop_niche_width,Pansu_indiv_niche_breadth,5-1_AdultBodyMass_g,5-1_AdultBodyMass_kg,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,References,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm
GEGE,Genetta,genetta,Genet,Omnivore,1756.17,solitary,Viverridae,Carnivora,nocturnal,solitary,Small,1,NA,0,NA,NA,NA,1756.17,1.75617,552.44,8,-999,-999,-999,6,74.18,1,10.9,11.54,182.5,2.29,-999,408,77.75,146,1.88,-999,1262.74,-999,-999,1,71.8,-999,-999,543;730;1113;1297;1573;2655,-999,1.56,-999,-999,17766920.65,49.9,-34.83,7.53,51.41,-17.53,16.93,0,39.75,0,0.1,53.49,228.99,601.6,1450.99
HEIC,Herpestes,ichneumon,Mongoose_large_grey,Omnivore,2980.02,solitary,Herpestidae,Carnivora,crepuscular,solitary,Small,1,NA,0,NA,NA,NA,2980.02,2.98002,573.28,-999,-999,-999,-999,6,75.87,1,2.18,2.05,365,3,1.5,240,-999,-999,-999,-999,729.99,-999,6,1,58.09,800,-999,543;1113;1297;1573;2655,-999,-999,-999,-999,14429050.1,39.59,-34.83,2.37,46.9,-17.53,14.68,0,50.25,1,0.13,80.56,232.14,814.09,1505.62
HEPA,Helogale ,parvula,Mongoose_dwarf,Carnivore,281.83,group,Herpestidae,Carnivora,diurnal,group,Small,1,NA,0,NA,NA,NA,281.83,0.28183,201.59,-999,-999,-999,-999,1,54.08,1,0.21,0.28,141.94,3.49,2.25,131,-999,-999,-999,-999,423.04,-999,6,1,21,-999,-999,543;966;1052;1113;1297;2655,-999,-999,-999,-999,6944753.53,14.25,-28.34,-7.04,51.41,12.05,31.73,0,30.49,1,0.15,71.37,222.44,797.78,1512.3
HIAM,Hippopotamus,amphibius,Hippo,Omnivore,1536310.4,group,Hippopotamidae,Artiodactyla,crepuscular,group,Very_large,1,NA,0,NA,NA,NA,1536310.4,1536.3104,-999,-999,1460,-999,-999,2,235.37,2,-999,-999,696.54,1,1,654,40199.99,-999,4.86,585,2030,-999,-999,1,319.01,206389.44,-999,543;898;1297;1763;1848;2180;2338;2620;2629;2655,-999,-999,-999,-999,1849389.21,13.59,-27.33,-6.86,42.88,-15.16,13.85,0,35.86,1,0.13,91.23,233.56,931.33,1522.22
HINI,Hippotragus,niger,Sable_antelope,Herbivore,236405.9,group,Bovidae,Artiodactyla,diurnal,group,Very_large,1,grazer,1,86,2.17,8.2,236405.9,236.4059,2035,-999,983.37,-999,-999,5,272.87,1,-999,-999,365,1,-999,267,16412.18,-999,1.3,-999,972.17,15,4,1,210.73,-999,-999,543;730;869;1297;1525;1594;1848;2629;2655;2693;2986,-999,1.1,-999,-999,3149646.92,-1.84,-25.41,-13.63,40.84,16.24,28.54,0,28.14,2,0.16,80.83,221.46,857.47,1492.34
HYAF,Hystrix,africaeaustralis,Porcupine,Herbivore,14936.02,solitary,Hystricidae,Rodentia,nocturnal,solitary,Medium,1,NA,0,NA,NA,NA,14936.02,14.93602,-999,-999,-999,2361.7,11300,3,93.49,1,1.31,1.23,375,1.51,1.5,240,305.59,-999,-999,-999,438.45,1.5,-999,1,70.34,-999,-999,785;1297;1573;1822;2151;2494;2629;2655;2913,-999,-999,-999,-999,8461036.56,0.81,-34.83,-17.01,40.84,8.93,24.88,0,26.86,0,0.15,76.85,211.2,820.68,1422.06
ICAL,Ichneumia,albicauda,Mongoose_white_tailed,Carnivore,3628.4,solitary,Herpestidae,Carnivora,nocturnal,solitary,Small,1,NA,0,NA,NA,NA,3628.4,3.6284,571.69,-999,-999,-999,-999,1,-999,1,0.5,0.64,-999,2.35,-999,144,-999,-999,3.7,-999,754.74,-999,-999,1,-999,-999,-999,542;543;730;966;1113;1297;1573;2655,-999,-999,-999,-999,14326821.09,26.38,-33.77,-3.69,59.83,-17.53,21.15,0,35.94,1,0.13,73.59,237.16,784.29,1541.61
KOEL,Kobus,ellipsiprymnus,Waterbuck,Herbivore,204393.48,group,Bovidae,Artiodactyla,crepuscular,group,Very_large,1,grazer,1,50,2.86,6.8,204393.48,204.39348,-999,-999,-999,26700,100000,2,270,1,1.28,-999,365,1,-999,239.04,12000,-999,2.46,-999,1426.44,12,4,1,212.91,-999,-999,543;730;854;869;917;1052;1297;1525;1822;1848;1981;2338;2620;2629;2655;2693;2986;3057,-999,1.1,-999,-999,10067123.88,16.11,-29.06,-6.47,45.62,-16.79,14.41,0,34.77,1,0.13,92,237.74,934.8,1546.75
LEMI,Lepus,microtis,Hare,Herbivore,1763.61,solitary,Leporidae,Lagomorpha,nocturnal,solitary,Small,-999,NA,0,NA,NA,NA,1763.61,1.76361,450,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,1.56,-999,-999,-999,-999,95,-999,-999,-999,-999,-999,-999,-999,-999,989;1600;2655,-999,-999,-999,-999,12414839.45,29.95,-32.48,-1.26,40.84,-17.53,11.65,0,33.81,1,0.13,77.99,238.46,815.86,1529.42
LESE,Leptailurus,serval,Serval,Carnivore,11999.96,solitary,Felidae,Carnivora,crepuscular,solitary,Medium,1,NA,0,NA,NA,NA,11999.96,11.99996,832.51,9.03,851.66,258.06,1012,1,73.74,1,1.84,1.95,182.5,2.35,2.5,276,254,-999,-999,-999,887.95,-999,4,1,104.68,-999,-999,543;1113;1297;1573;1822;2655,-999,-999,-999,-999,12526196.74,37.05,-34.08,1.48,46.93,-16.82,15.05,0,36.32,1,0.13,89.07,235.57,909.16,1534.53
