"StudySite","SppCode1","SppCode2","Spp1Det","Spp2Det","Operation"
"A06","TRSY","HIAM",3,0,31
"A06","TRAN","HIAM",0,0,31
"A06","RERE","HIAM",1,0,31
"A08","HINI","HIAM",0,0,61
"A08","POLA","HIAM",1,0,61
"A08","SYCA","HIAM",0,0,61
"A08","KOEL","HIAM",6,0,61
"A08","TRSY","HIAM",6,0,61
"A08","OUOU","HIAM",6,0,61
"A08","SYGR","HIAM",0,0,61
"A08","RERE","HIAM",0,0,61
"A08","TRAN","HIAM",0,0,61
"A08","PHAF","HIAM",10,0,61
"A08","TRST","HIAM",0,0,61
"A08","TAOR","HIAM",0,0,61
"A08_2","OUOU","HIAM",3,0,69
