"","StudySite","SppCode","Detections","Latitude","Longitude","Longitude.UTM","Latitude.UTM","height.cm","angle","detect.obscured","cover.ground","termite.count.100m","termite.count.50m","termite.large.count.100m","termite.large.count.50m","habitat.number","habitat.type","dominant.tree","fire.interval","poaching.all","poaching.high","boundary.distance","road.distance","road.major.distance","urema.distance","pan.distance","river.distance","tree.100m","tree.250m","tree.500m","tree.1km","termites.100m","termites.250m","termites.500m","termites.1km","fire2015.date","fire2016.date","fire2017.date","pans.100m","pans.250m","pans.500m","fire2015","fire2016","fire2017","Operation","GenusLatin","SpeciesLatin","CommName","Diet","Weight","Sociality","Family","Order","Activity_pattern","Sociality.1","Mass_category","Trophic_level","X5.1_AdultBodyMass_g","X5.1_AdultBodyMass_kg","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm"
"486","B09","COTA",0,-18.98108,34.33122,640136.5979,7900736.425,80,-3,0,5,15,5,15,5,2,"2_OW","AR",9.440723419,0,0,1827.738037,620.881897,620.8818359,16986.43555,73.16529083,1828.059204,2.10125494,0.253674328,0.915770769,0.443697155,0.81099087,0.029067613,0.434135973,0.141828209,NA,NA,NA,0.043297254,0.001529874,0.023914794,0,0,0,9,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"487","C06","COTA",0,-18.94877,34.35125,642272.8619,7904296.172,90,-3,0,5,2,3,2,3,2,"2_OW","HY",10.62749958,0,0,4712.924316,137.1408691,137.1408234,13121.14648,92.24648285,2074.799805,1.716116071,0.208486006,1.137672186,0.276521236,0.989175677,0.026167227,0.511499822,0.126961946,247.4421082,NA,NA,0.026644463,0.003697307,0.025284287,1,0,0,6,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"488","C08","COTA",0,-18.97041,34.35071,642197.6499,7901901.671,80,-5,0,10,3,3,3,3,2,"2_OW","AR",7.553421497,0,0,2321.447754,432.7802124,432.7802124,14668.47266,218.535965,2321.539551,3.321752787,0.376540244,1.53728044,0.388177991,1.741881728,0.045912169,0.759384751,0.174836159,245.4664764,NA,NA,0,0.001911469,0.024999604,1,0,0,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"489","D03","COTA",0,-18.91569,34.36975,644249.4186,7907942.181,100,-4,0,50,0,1,0,1,2,"2_OW","HY",5.497811317,0,0,8580.866211,94.27841949,94.27842712,9598.172852,25.04351807,55.98794937,6.086621284,0.450219959,1.138081551,0.203578487,0.320566207,0.008880443,0.214631513,0.04204886,NA,NA,NA,0.425424904,0.009402997,0.129149899,0,0,0,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"490","D05","COTA",0,-18.93763,34.37036,644294.8273,7905513.538,60,0,1,50,6,4,6,4,2.5,"2.5_OCW","mix",4.622369766,0,0,6254.927734,599.0967407,599.0967407,10765.93652,84.32523346,1446.874756,3.390577078,0.371278316,1.533814907,0.385423958,1.749375463,0.042728912,0.63233918,0.175298229,NA,NA,NA,0.0355439,0.001163342,0.036489651,0,0,0,20,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"491","D07","COTA",3,-18.97986,34.37051,644274.2966,7900839.718,90,1,0,10,7,5,7,5,2,"2_OW","mix",14.09720802,1,1,1847.439941,1039.238647,1039.238647,14010.10449,292.9839478,1847.120605,2.836110353,0.363306433,1.478896976,0.414556921,1.534554482,0.042246845,0.637720048,0.171905011,211,248,NA,0,0,0.001872986,1,1,0,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"492","D09","COTA",0,-18.95907,34.37054,644295.3496,7903140.576,60,-2,1,80,1,1,0,0,2.5,"2.5_OCW","CA",7.243978024,1,1,4074.408203,117.4708023,117.4707642,12292.49121,52.16975784,3549.67627,2.880082607,0.388952434,1.68656075,0.404191285,1.825145721,0.057629254,0.901065052,0.194083646,NA,NA,NA,0.014154871,0.002237719,0.053618196,0,0,0,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"493","E02","COTA",0,-18.90468,34.39004,646396.0875,7909143.999,110,-4,0,80,0,0,0,0,1,"1_SW","AX_FA",1.026332617,0,0,10397.94824,146.7473145,146.7473602,7149.865234,207.7147675,1196.640625,1.729707599,0.17018491,0.408595085,0.118391335,0.747710228,0.021756886,0.187298611,0.056738466,NA,NA,NA,0,0.00345347,1.316907406,0,0,0,51,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"494","E04","COTA",0,-18.92648,34.39024,646398.1729,7906731.168,70,-1,0,25,6,5,6,5,2,"2_OW","AR",4.514027119,0,0,8108.509766,851.3939209,1004.626038,8348.763672,517.3314209,2507.550049,2.980464697,0.378349304,1.524006844,0.281635612,1.802664399,0.056453958,0.720321894,0.149772301,NA,NA,NA,0,0,0.050729722,0,0,0,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"495","E06","COTA",0,-18.94814,34.39065,646422.4683,7904333.652,90,1,1,30,3,1,3,1,2,"2_OW","CA",7,0,0,5909.675293,478.2506714,847.0457764,9956.298828,487.0079041,3746.4104,4.913780212,0.506602764,2.028587341,0.478054017,0.433805168,0.020569639,0.304201514,0.124285303,208.4575653,NA,NA,0,0,0.006396724,1,0,0,28,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"496","E08","COTA",0,-18.97007,34.39047,646384.3728,7901906.739,70,-6,0,50,0,1,0,1,3,"3_CW","CA",14.55404758,1,1,3866.68042,663.99646,663.99646,11782.33691,416.1642151,3866.433838,3.797045469,0.430855721,1.620383739,0.407331735,2.647793531,0.056107346,0.751797616,0.183202416,208.0376434,248.9902344,233.8002472,0,0,0.029761432,1,1,1,43,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"497","E10","COTA",0,-18.99155,34.39053,646371.9214,7899529.423,90,-8,1,80,0,0,0,0,2,"2_OW","CA",11.61771679,1,1,2196.321533,456.5426941,456.5426636,13575.85547,133.9936371,2196.606201,1.931586981,0.372952431,1.816738844,0.56594789,0.938384652,0.02745009,0.455643564,0.13482222,208,247.4809265,234,0,0.000175298,0.002317423,1,1,1,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"498","E12","COTA",0,-19.01331,34.39089,646390.7826,7897120.864,80,-7,0,80,1,0,1,0,4,"4_F","mix",7.729577065,1,1,1006.296143,844.609375,844.609375,15521.88086,82.82206726,1006.897522,4.807846546,0.576539576,2.24346137,0.507747173,0.342214823,0.032322582,0.44270727,0.090408094,249,248.5022125,NA,0.322031498,0.003103987,0.114677422,1,1,0,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"499","F01","COTA",0,-18.89402,34.40934,648438.4484,7910307.681,60,3,0,10,3,2,3,2,1,"1_SW","AX_FA",4.698989868,0,0,12181.30176,721.1661987,721.1661987,4825.426758,265.3390198,1913.336182,3.024577379,0.338195115,1.463723421,0.299311012,1.49708581,0.040406212,0.780384421,0.149230391,NA,NA,NA,0,0.000509958,0.033577312,0,0,0,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"500","F03","COTA",0,-18.91463,34.40951,648438.1726,7908026.562,90,-6,0,10,9,2,9,2,1,"1_SW","AR",3.746916056,0,0,10115.12598,346.0800476,346.0800476,5942.76416,68.01644135,3366.331543,3.065089941,0.434586972,1.747946858,0.395051509,1.777685285,0.062183019,0.999571443,0.220527723,NA,NA,NA,0.035803497,0.000844618,0.011729972,0,0,0,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
