"","StudySite","SppCode","Detections","Latitude","Longitude","Longitude.UTM","Latitude.UTM","height.cm","angle","detect.obscured","cover.ground","termite.count.100m","termite.count.50m","termite.large.count.100m","termite.large.count.50m","habitat.number","habitat.type","dominant.tree","fire.interval","poaching.all","poaching.high","boundary.distance","road.distance","road.major.distance","urema.distance","pan.distance","river.distance","tree.100m","tree.250m","tree.500m","tree.1km","termites.100m","termites.250m","termites.500m","termites.1km","fire2015.date","fire2016.date","fire2017.date","pans.100m","pans.250m","pans.500m","fire2015","fire2016","fire2017","Operation","GenusLatin","SpeciesLatin","CommName","Diet","Weight","Sociality","Family","Order","Activity_pattern","Sociality.1","Mass_category","Trophic_level","X5.1_AdultBodyMass_g","X5.1_AdultBodyMass_kg","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm"
"501","F05","COTA",0,-18.93785,34.40944,648410.2911,7905456.782,90,-6,0,50,9,2,9,2,2,"2_OW","AR",6.756124973,1,0,7909.420898,745.0910034,745.0910034,7827.183105,49.00373077,4863.394043,5.943221092,0.641340673,2.411990404,0.580846965,2.022481203,0.04749782,0.73535341,0.194071665,NA,NA,NA,0.264762044,0.003210379,0.033491533,0,0,0,6,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"502","F07","COTA",0,-18.95938,34.41,648450.222,7903073.504,100,1,0,5,2,2,2,2,1.5,"1.5_SOW","AR",11.36116791,0,0,6150.91748,535.7481689,535.7481689,9519.87207,124.4126892,6101.339355,3.477823496,0.489021212,1.981283188,0.471026689,1.62198174,0.040314581,0.72360754,0.184397027,206.9846039,251.967453,232.902359,0,0.004362532,0.068252884,1,1,1,65,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"503","F09","COTA",0,-18.98048,34.4101,648442.0657,7900738.197,80,-5,1,20,4,1,4,1,2,"2_OW","mix",13.6987772,0,0,4538.290039,2259.572998,2259.572754,11383.68262,39.83392334,4538.46582,2.534948826,0.253953964,1.161550164,0.347317427,0.586178184,0.012314692,0.272360742,0.10621646,211.6485443,249.2958527,233.0135956,0.443402618,0.002772897,0.038285106,1,1,1,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"504","F11","COTA",0,-19.00232,34.41034,648447.9686,7898320.868,70,1,0,50,0,0,0,0,3,"3_CW","CA",8.956868172,0,0,3197.743408,143.9089966,143.9090424,13379.50391,746.3579102,3197.594238,5.813977242,0.601161182,2.371182919,0.642161429,2.624479532,0.0476771,0.620006025,0.157055736,NA,252.8254242,234.0349121,0,0,0,0,1,1,15,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"505","G02","COTA",0,-18.90452,34.42932,650533.7909,7909128.718,90,0,1,50,0,0,0,0,2,"2_OW","AX_FA",2.878654242,0,0,12136.97754,495.9915771,495.9915771,3645.208496,105.378418,3645.208496,2.776843071,0.378112316,1.739449143,0.430747509,0.824313045,0.01832662,0.544705629,0.176282257,NA,NA,NA,0.043297254,0.008354548,0.050983317,0,0,0,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"506","G04","COTA",0,-18.92615,34.42925,650507.0552,7906734.895,90,-5,0,10,11,2,11,2,1.5,"1.5_SOW","AR",4.025091648,0,0,10216.62305,155.8797455,155.8797607,5460.585449,94.62628937,5460.585449,2.598252535,0.308616787,1.439138293,0.405180335,1.582847595,0.036936108,0.731163025,0.188318178,NA,NA,NA,0.081598669,0.005678409,0.164605439,0,0,0,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"507","G06","COTA",0,-18.94765,34.42924,650486.7352,7904355.404,90,0,0,50,12,5,12,5,3,"3_CW","AR",5.932429314,0,0,8529.407227,567.3311768,567.3311768,7245.40625,263.5492859,7190.611816,6.597892761,0.701013625,2.585664034,0.64918834,3.890924215,0.096402004,1.248202443,0.258101553,NA,NA,NA,0,0.000159362,0.020760072,0,0,0,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"508","G08","COTA",0,-18.96947,34.42969,650514.5428,7901940.099,60,-4,0,10,0,0,0,0,3,"3_CW","CA",13.08799458,0,0,6908.936035,548.1933594,1647.722778,9214.438477,268.1579895,6908.899414,7.620366096,0.714106917,2.458861828,0.565570474,1.995836854,0.04455759,0.66117996,0.185336143,210.5040894,255,NA,0,0.000219123,0.006872907,1,1,0,86,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"509","G10","COTA",0,-18.99154,34.42987,650513.6656,7899497.349,90,0,0,1,0,0,0,0,4,"4_F","SF",7.466636181,1,1,5517.103027,1963.144531,1963.144531,11351.12402,658.1550293,5517.181641,6.185592175,0.845715344,3.28369689,0.75618118,0.650291443,0.033557635,0.934397876,0.203567654,211,NA,233.3481598,0,0,0,1,0,1,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"510","G12","COTA",0,-19.01238,34.43031,650541.238,7897190.503,70,-4,0,5,1,2,1,2,2.5,"2.5_OCW","CA",11.98894978,1,1,4352.904297,371.7093506,371.7093811,13415.93652,508.5629578,4352.748535,6.465770245,0.797942877,2.888306618,0.726898789,0.95920068,0.041637283,0.534229636,0.123048782,NA,254.5294647,233,0,0,0.003487353,0,1,1,66,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"511","H03","COTA",0,-18.9152,34.4492,652618.1837,7907929.663,70,0,1,5,3,2,3,2,2,"2_OW","AX_FA",3.01256752,0,0,12524.76367,306.0230408,306.0230103,3121.831787,129.7256165,3121.831787,5.353406429,0.694589496,2.549755096,0.576882243,0.341382176,0.020091554,0.435278803,0.182711393,NA,NA,NA,0,0.000422309,0.030425742,0,0,0,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"512","H05","COTA",1,-18.93732,34.44904,652581.2445,7905481.669,110,1,0,5,0,3,0,3,2,"2_OW","AX_FA",5.920670986,1,0,10794.59766,209.3375397,209.3375397,5119.650879,277.5779419,5119.650879,4.027271271,0.428151011,2.196941137,0.561592817,0.07910075,0.015450138,0.448865891,0.156320199,NA,NA,NA,0,0,0.058610786,0,0,0,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"513","H07","COTA",0,-18.95859,34.44962,652622.9841,7903127.104,70,-3,1,15,2,1,2,1,3,"3_CW","CA",8.149168015,0,0,9312.182617,510.2637024,742.5864868,7169.78125,609.6887207,7169.78125,6.42790556,0.744911611,2.924491882,0.712726712,1.487926722,0.050442029,0.724337697,0.179535747,215.1467133,NA,NA,0,0,0.015800951,1,0,0,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"514","H09","COTA",0,-18.98015,34.45014,652658.1057,7900740.488,80,-2,0,30,0,0,0,0,2.5,"2.5_OCW","mix",9.756672859,0,0,7968.538574,1863.477539,2119.033936,9301.130859,1445.314209,7968.654785,6.670201778,0.768338263,3.081100702,0.806342602,1.754371405,0.064828426,1.05768168,0.254577577,NA,NA,NA,0,0,0,0,0,0,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"515","H11","COTA",0,-19.00162,34.44932,652552.2044,7898364.99,90,0,1,10,0,0,0,0,3,"3_CW","CA",11.1485157,1,1,6661.362305,1327.806519,1327.806519,11539.45117,309.3487549,6661.508789,6.599025249,0.702250779,2.982441425,0.846876383,2.791840076,0.045489859,0.779574931,0.206585616,NA,NA,231,0,0,0.007158617,0,0,1,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"516","H13","COTA",0,-19.02429,34.4497,652571.5229,7895855.634,80,-2,0,1,2,1,2,1,3.5,"3.5_CWF","SF",11.95625019,1,1,4839.978027,982.9876709,982.9876709,13917.95313,548.0963745,4839.794434,8.273938179,0.970816791,3.79929018,0.910026491,0.742714405,0.047880288,1.094411254,0.245739281,279,258.4668274,NA,0,0,0.030198796,1,1,0,33,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"517","I04","COTA",0,-18.92486,34.4683,654621.1054,7906843.928,130,-1,1,15,3,2,0,0,1,"1_SW","HY",6.030501366,1,0,13210.87695,161.636734,161.636734,2986.375488,155.223587,2986.375488,1.027848244,0.182049096,0.974995852,0.271399587,0.188176513,0.012047761,0.269360811,0.072940044,275.6463013,NA,NA,0,0.001835119,0.169059962,1,0,0,90,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"518","I06","COTA",0,-18.94756,34.46877,654649.7034,7904331.173,80,-3,0,30,3,2,3,2,1.5,"1.5_SOW","AR",4.918306351,0,0,11661.52246,33.49628067,33.49626541,5216.693848,275.9990845,5216.693848,3.227524042,0.497625768,2.139041901,0.538348079,0.587010801,0.019848527,0.366692603,0.107408077,NA,NA,NA,0,0,0.128731012,0,0,0,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"519","I08","COTA",0,-18.96937,34.46918,654672.7672,7901916.965,70,-1,0,40,0,0,0,0,3,"3_CW","AR",8.179292679,0,0,10286.1416,568.0446167,568.0445557,7515.662109,1030.25354,7515.662109,6.351608753,0.749171793,2.832531214,0.665581465,1.121565342,0.023489946,0.470833808,0.136028811,NA,NA,NA,0,0,0,0,0,0,8,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"520","I10","COTA",0,-18.99097,34.46956,654692.833,7899526.02,70,0,0,60,3,1,3,1,3,"3_CW","mix",8.499647141,0,0,8661.104492,203.6202393,203.6202698,9846.06543,646.9886475,8660.878906,7.272213459,0.848821878,3.420169353,0.819279671,2.205662012,0.051362347,0.918826699,0.23784408,221,NA,NA,0,0,0,1,0,0,4,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"521","I12","COTA",0,-19.01319,34.46984,654701.766,7897066.538,90,-5,0,10,0,1,0,1,2,"2_OW","mix",7.00595808,0,0,6264.157227,177.9171143,177.9170837,12246.1084,141.3412781,6263.84668,6.267465591,0.728963852,2.278998613,0.615199447,0.977518737,0.028964028,0.467500508,0.153402045,NA,NA,NA,0,0.006411152,0.155270383,0,0,0,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"522","I14","COTA",0,-19.03467,34.46753,654438.7419,7894691.23,60,-3,0,10,4,1,4,1,1,"1_SW","AR",7.242540359,0,0,3917.032471,89.40283966,1996.669434,14344.68359,233.1652679,3916.698486,3.86796999,0.527041376,2.195584774,0.589541435,1.080766082,0.048302595,0.793717563,0.147810236,NA,NA,NA,0,0.003196467,0.038348597,0,0,0,9,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"523","J03","COTA",0,-18.91491,34.4889,656800.0799,7907926.996,120,-8,1,80,0,0,0,0,1,"1_SW","AX_FA",4.020103931,0,0,15561.55078,66.76725006,66.76720428,1300.511719,67.22065735,1300.511719,3.192808867,0.2555857,1.326675653,0.237575606,2.804329634,0.040740874,0.762686312,0.117259361,NA,NA,NA,3.852388382,0.13127175,1.461053848,0,0,0,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"524","J05","COTA",0,-18.93744,34.48872,656760.1008,7905433.611,90,-6,1,20,3,2,0,0,2,"2_OW","HY",8.045370102,1,0,14026.72266,318.0661926,318.0661621,3775.546143,46.66991043,3775.546143,4.116275311,0.642627776,2.689008713,0.617450953,1.027477145,0.043936081,0.666418016,0.14686811,275.0354004,NA,NA,0.538623512,0.019357292,0.186206147,1,0,0,39,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"525","J07","COTA",0,-18.95831,34.48913,656783.7834,7903123.421,90,-1,0,30,1,1,0,0,2,"2_OW","mix",9.616213799,0,0,12661.01172,807.9243774,1357.388916,6082.573242,267.5183716,5530.512695,5.291854382,0.687251151,2.692433596,0.648853064,0.195670277,0.030872388,0.52899158,0.113329232,NA,NA,NA,0,0.000840662,0.01320636,0,0,0,16,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"526","J09","COTA",0,-18.97872,34.4887,656719.4201,7900864.884,70,-5,1,80,1,0,1,0,2,"2_OW","mix",5.224422455,0,0,10497.93164,1641.689453,1641.689453,8036.055176,1072.070435,6296.487793,5.855882168,0.600488722,2.688606739,0.712892354,0.601165712,0.032800667,0.722401261,0.183276266,NA,NA,NA,0,0,0,0,0,0,30,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"527","J11","COTA",0,-19.00152,34.48963,656795.9875,7898340.612,60,-5,0,5,0,1,0,1,3.5,"3.5_CWF","mix",7.272376537,0,0,8210.692383,664.5010986,679.3570557,10000.91113,370.190094,6714.063965,7.796405315,0.903255403,3.465418577,0.798963368,3.080765963,0.088075347,1.229742408,0.24681513,NA,NA,NA,0,0,0.002253932,0,0,0,0,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
"528","J13","COTA",0,-19.02231,34.489,656710.1784,7896040.187,70,0,0,10,2,0,2,0,2,"2_OW","AR",11.70416832,0,0,6168.531738,445.5891724,817.3772583,12043.17969,560.9272461,6168.431152,3.593016148,0.632477582,2.956791878,0.739475906,0.737718582,0.027796702,0.836462915,0.226212353,NA,NA,NA,0,0,0.066138029,0,0,0,14,"Connochaetes","taurinus","Wildebeest","Herbivore",198619.68,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,-999,"543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986",-999,1.1,-999,-999,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23
