"Camera","Operation"
"A06",0
"A08",0
"A10",0
"B05",5
"B07",28
"B09",0
"C06",0
"C08",28
"D03",0
"D05",0
"D07",28
"D09",0
"E02",20
"E04",28
"E06",0
"E08",12
"E10",28
"E12",28
"F01",0
"F03",0
"F05",0
"F07",28
"F09",0
"F11",0
"G02",0
"G04",28
"G06",28
"G08",28
"G10",28
"G12",28
"H03",28
"H05",28
"H07",0
"H09",28
"H11",28
"H13",2
"I04",28
"I06",0
"I08",0
"I10",0
"I12",0
"I14",0
"J03",0
"J05",8
"J07",0
"J09",0
"J11",0
"J13",0
"K04",11
"K06",28
"K08",0
"K10",28
"K12",0
"L05",0
"L07",28
"L09",0
"L11",28
"L13",28
"M08",17
"M10",28
