"Camera","Operation"
"A06",30
"A08",30
"A10",30
"B05",30
"B07",30
"B09",30
"C06",30
"C08",30
"D03",30
"D05",30
"D07",20
"D09",0
"E02",30
"E04",30
"E06",30
"E08",30
"E10",30
"E12",30
"F01",30
"F03",30
"F05",0
"F07",30
"F09",22
"F11",30
"G02",30
"G04",30
"G06",30
"G08",30
"G10",30
"G12",30
"H03",30
"H05",30
"H07",30
"H09",30
"H11",30
"H13",30
"I04",30
"I06",30
"I08",30
"I10",30
"I12",30
"I14",30
"J03",30
"J05",30
"J07",30
"J09",30
"J11",30
"J13",30
"K04",23
"K06",30
"K08",30
"K10",30
"K12",30
"L05",30
"L07",30
"L09",30
"L11",30
"L13",30
"M08",30
"M10",30
