"Camera","Operation"
"A06",25
"A08",25
"A10",25
"B05",27
"B07",27
"B09",25
"C06",27
"C08",27
"D03",31
"D05",26
"D07",31
"D09",21
"E02",31
"E04",26
"E06",31
"E08",31
"E10",24
"E12",18
"F01",26
"F03",31
"F05",26
"F07",27
"F09",0
"F11",24
"G02",26
"G04",31
"G06",27
"G08",20
"G10",24
"G12",22
"H03",26
"H05",27
"H07",25
"H09",25
"H11",22
"H13",22
"I04",27
"I06",25
"I08",20
"I10",20
"I12",22
"I14",20
"J03",27
"J05",21
"J07",25
"J09",20
"J11",20
"J13",21
"K04",21
"K06",19
"K08",19
"K10",19
"K12",21
"L05",21
"L07",19
"L09",19
"L11",21
"L13",19
"M08",21
"M10",21
