"Camera","Operation"
"A06",0
"A08",31
"A10",0
"B05",12
"B07",31
"B09",9
"C06",6
"C08",31
"D03",0
"D05",20
"D07",31
"D09",0
"E02",31
"E04",31
"E06",28
"E08",0
"E10",31
"E12",31
"F01",0
"F03",0
"F05",6
"F07",31
"F09",0
"F11",0
"G02",0
"G04",31
"G06",31
"G08",27
"G10",31
"G12",31
"H03",31
"H05",31
"H07",0
"H09",31
"H11",31
"H13",31
"I04",31
"I06",0
"I08",8
"I10",0
"I12",0
"I14",9
"J03",0
"J05",31
"J07",0
"J09",0
"J11",0
"J13",14
"K04",31
"K06",31
"K08",0
"K10",31
"K12",8
"L05",4
"L07",31
"L09",0
"L11",31
"L13",31
"M08",31
"M10",31
