"Camera","Operation"
"A06",31
"A08",31
"A10",21
"B05",31
"B07",31
"B09",31
"C06",31
"C08",31
"D03",27
"D05",31
"D07",31
"D09",24
"E02",31
"E04",31
"E06",31
"E08",4
"E10",31
"E12",31
"F01",4
"F03",26
"F05",31
"F07",31
"F09",26
"F11",19
"G02",0
"G04",31
"G06",31
"G08",28
"G10",31
"G12",31
"H03",31
"H05",31
"H07",26
"H09",31
"H11",31
"H13",31
"I04",31
"I06",26
"I08",31
"I10",25
"I12",24
"I14",31
"J03",18
"J05",31
"J07",26
"J09",24
"J11",0
"J13",31
"K04",31
"K06",31
"K08",25
"K10",31
"K12",31
"L05",31
"L07",31
"L09",0
"L11",31
"L13",31
"M08",31
"M10",31
