"","Camera","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","Guineafowl_crested","Guineafowl_helmeted","HEIC","HEPA","HIAM","HINI","Hornbill_ground","Human","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"1","A06",4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,1,0,9,0,1,0,0,0,0,0,3
"2","A08",1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,4,0,0,3,0,1,0,0,0,5,10,0,4,0,0,0,0,0,0,0,5
"3","A10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,4,0,0,1,0,0,8,0,3
"4","B05",6,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0,0,0,0,0,2,0,13,1,0,16,1,8,3,0,0,0,2,2
"5","B07",1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,4,0,15,2,0,0,0,0,2,0,1
"6","B09",6,0,0,0,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,7
"7","C06",3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,9,0,3,0,0,0,0,0,6
"8","C08",3,1,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,3,0,8,0,0,1,0,0,0,0,0,4,5,0,13,3,1,0,0,0,4,0,6
"9","D03",1,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,3,4,0,5,1,1,1,0,0,1,0,17
"10","D05",14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,17,0,0,4,0,0,0,0,0,9,6,0,15,0,0,0,0,0,10,4,10
"11","D07",6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,12,0,0,5,0,0,0,0,0,7,13,0,23,2,7,0,0,0,3,2,22
"12","D09",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,6,0,2,0,0,0,0,0,3
"13","E02",18,1,4,5,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,26,2,0,4,0,0,0,0,0,17,12,1,11,2,8,0,0,0,0,0,7
"14","E04",7,0,0,0,0,0,8,1,0,0,3,0,6,0,0,0,0,0,0,0,1,11,0,0,2,0,0,0,0,0,8,7,0,15,0,1,0,0,0,1,0,11
"15","E06",2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,12,0,0,7,0,0,0,0,0,3,20,0,17,5,2,0,1,0,8,7,17
"16","E08",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2
"17","E10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"18","E12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3
"19","F01",4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,1,0,3,2,0,0,0,0,0,0,0
"20","F03",1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,4,0,3,0,0,2,0,0,0,3,5
"21","F05",8,0,1,0,0,0,1,2,0,0,2,0,3,0,0,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,3,3,0,11,0,0,1,0,0,0,0,1
"22","F07",9,4,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,3,0,4,1,12,1,0,1,0,1,0,0,0,13,14,0,14,3,4,1,0,0,8,1,9
"23","F09",1,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,2,0,5,0,2,0,0,0,0,0,1
"24","F11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1
"25","G02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","G04",9,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,1,0,5
"27","G06",4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,0,0,0,2,7,0,10,5,0,0,1,0,7,0,4
"28","G08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,4
"29","G10",0,0,0,0,0,11,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,22,0,1,4,0,0,0,0,4,0,3
"30","G12",2,1,1,1,0,0,0,3,0,0,12,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,15,0,3,2,1,0,0,0,6,0,18
"31","H03",13,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,0,0,0,0,0,29,0,0,8,0,0,0,0,0,9,10,0,26,1,0,0,0,0,0,0,4
"32","H05",17,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,1,0,0,1,29,0,0,3,0,1,0,0,0,2,21,0,15,1,0,0,0,0,0,0,13
"33","H07",0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,4,0,2,0,0,0,3,0,6
"34","H09",0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,3,11,0,15,1,2,1,0,0,1,0,8
"35","H11",0,0,2,0,0,0,2,1,0,0,8,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4
"36","H13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","I04",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,20,0,0,10,0,1,0,2,0,10,11,0,27,1,2,0,0,0,0,0,15
"38","I06",5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,7,11,0,8,0,5,0,0,0,0,0,4
"39","I08",0,0,0,0,0,0,0,4,0,0,10,0,1,0,0,0,0,0,0,2,0,13,0,0,3,0,0,0,0,0,2,12,0,16,3,1,0,0,0,2,3,9
"40","I10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,7,1,0,1,0,0,3,1,10
"41","I12",1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,6,1,0,0,0,0,1,0,7
"42","I14",0,0,2,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,7,0,1,1,0,0,0,0,0,0,5
"43","J03",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,11,0,0,3,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,2
"44","J05",1,0,0,0,0,0,0,1,0,4,13,0,1,0,0,0,0,0,0,2,0,8,0,0,1,0,0,0,0,0,3,11,0,21,2,1,0,0,0,0,0,7
