"Camera","Operation"
"A06",31
"A08",31
"A10",31
"B05",31
"B07",31
"B09",31
"C06",31
"C08",31
"D03",31
"D05",31
"D07",31
"D09",6
"E02",31
"E04",31
"E06",31
"E08",31
"E10",31
"E12",31
"F01",31
"F03",31
"F05",1
"F07",31
"F09",0
"F11",31
"G02",31
"G04",31
"G06",31
"G08",31
"G10",31
"G12",31
"H03",31
"H05",31
"H07",31
"H09",31
"H11",31
"H13",31
"I04",31
"I06",31
"I08",31
"I10",31
"I12",31
"I14",31
"J03",31
"J05",31
"J07",31
"J09",31
"J11",31
"J13",31
"K04",31
"K06",31
"K08",31
"K10",31
"K12",31
"L05",31
"L07",31
"L09",31
"L11",31
"L13",31
"M08",31
"M10",31
