"","Camera","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","Guineafowl_crested","Guineafowl_helmeted","HEIC","HEPA","HIAM","HINI","Hornbill_ground","Human","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"1","A06",10,0,0,0,0,0,0,1,3,0,6,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,3,5,0,5,1,2,1,0,0,0,0,0
"2","A08",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,8,0,10,0,1,0,0,0,0,1,7
"3","A10",0,0,0,0,0,1,0,0,0,0,8,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,19,0,1,3,0,0,0,0,8,0,6
"4","B05",11,5,1,0,0,0,0,2,2,0,2,0,0,0,0,0,4,0,0,0,0,13,1,0,0,0,0,0,0,0,16,0,0,14,1,5,2,0,0,0,1,0
"5","B07",5,1,0,0,0,0,0,1,16,0,3,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,7,4,0,9,1,1,0,0,0,1,2,4
"6","B09",4,0,0,0,0,0,1,0,0,0,10,0,4,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,1,6,0,11,1,2,0,0,0,1,0,2
"7","C06",2,0,2,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,3,1,4,1,0,0,0,0,0,2,0,3,5,0,11,0,4,1,0,0,1,1,3
"8","C08",6,0,0,0,1,0,2,0,0,1,15,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,7,12,0,7,0,0,0,0,0,3,1,7
"9","D03",2,0,1,0,0,0,1,2,0,0,5,0,2,0,0,0,1,0,0,3,1,16,0,0,0,0,0,0,0,0,5,1,0,8,1,0,0,0,0,2,1,19
"10","D05",11,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,1,0,0,7,17,0,13,0,0,0,0,0,6,1,14
"11","D07",15,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,3,0,0,1,0,17,0,0,0,0,0,0,0,0,7,9,0,26,0,4,0,0,0,4,6,24
"12","D09",0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,2
"13","E02",24,0,0,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,21,15,1,10,0,8,0,0,0,0,1,16
"14","E04",9,0,0,0,0,0,12,2,0,0,4,0,5,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,8,9,0,10,1,2,0,0,0,2,0,10
"15","E06",3,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,2,0,19,0,0,0,0,0,0,0,0,1,19,0,13,4,4,0,1,0,10,4,12
"16","E08",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1
"17","E10",0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,6,0,2,0,2,0,0,0,0,2,0
"18","E12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,6,0,0,0,0,0,0,6
"19","F01",28,0,0,0,0,0,0,3,0,0,1,0,10,0,0,0,0,0,0,1,1,27,0,0,2,0,0,0,2,0,18,6,0,28,4,4,0,0,0,0,0,12
"20","F03",9,0,0,0,0,0,3,0,0,0,1,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,0,0,2,1,8
"21","F05",9,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,6,9,0,15,1,0,0,0,0,13,0,7
"22","F07",11,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,1,0,0,2,0,22,0,0,0,0,1,0,0,1,9,16,0,16,3,2,0,0,0,7,6,7
