"","Camera","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","Guineafowl_crested","Guineafowl_helmeted","HEIC","HEPA","HIAM","HINI","Hornbill_ground","Human","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"1","A06",4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,1,0,8,3,3,0,0,0,0,1,1
"2","A08",3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,19,0,3,3,0,0,0,0,0,1,1
"3","A10",0,0,0,0,1,0,7,0,0,0,4,1,0,0,0,0,0,0,0,4,0,5,0,0,4,0,0,0,0,0,0,20,0,2,3,0,0,0,0,4,0,10
"4","B05",6,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,2,0,11,1,0,0,0,0,0,1,0,2,4,0,5,0,0,0,0,0,0,0,2
"5","B07",14,0,1,0,0,1,0,4,2,0,1,0,0,0,0,0,0,4,0,0,0,1,4,0,1,0,0,0,0,0,3,11,0,14,0,0,0,4,0,4,1,9
"6","B09",4,3,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,1,19,0,4,0,0,0,0,0,2,2,1
"7","C06",5,0,1,0,1,0,0,1,0,0,6,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,24,14,0,15,1,1,0,15,0,1,1,18
"8","C08",6,1,0,0,2,0,2,3,0,1,10,0,1,0,0,0,0,0,0,5,0,2,1,0,0,0,1,0,0,1,2,11,0,5,1,0,0,3,0,6,1,7
"9","D03",1,0,0,0,0,0,3,4,0,0,12,0,1,0,0,0,0,0,0,6,0,6,0,0,0,0,4,0,0,0,1,3,0,2,0,0,0,0,0,1,2,13
"10","D05",13,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,17,0,3,3,0,0,1,0,11,0,3
"11","D07",9,0,3,0,0,0,1,1,0,0,9,0,0,0,0,0,1,0,1,1,1,5,3,0,0,0,0,0,0,2,1,13,0,9,0,0,0,0,0,14,2,20
"12","D09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
"13","E02",6,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11,9,0,0,0,0,0,0,0,11,3,0,11,0,1,0,0,0,0,1,4
"14","E04",12,0,0,0,0,0,3,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,16,0,3,2,1,0,0,0,1,0,4
