StudySite,Operation
A06,0
A08,0
A10,0
B05,88
B07,79
B09,55
C06,55
C08,70
D03,0
D05,0
D07,70
D09,0
E02,0
E04,73
E06,0
E08,71
E10,74
E12,90
F01,0
F03,0
F05,0
F07,0
F09,50
F11,74
G02,0
G04,72
G06,71
G08,99
G10,90
G12,0
H03,73
H05,71
H07,76
H09,78
H11,47
H13,0
I04,71
I06,63
I08,0
I10,83
I12,47
I14,0
J03,0
J05,0
J07,83
J09,95
J11,0
J13,0
K04,0
K06,95
K08,109
K10,122
K12,0
L05,0
L07,122
L09,0
L11,86
L13,86
M08,0
M10,0
