"Camera","Species","n_events"
"L07","Warthog",795
"L07","Waterbuck",466
"L09","Baboon",104
"L09","Bushbaby",3
"L09","Bushbuck",250
"L09","Bushpig",25
"L09","Elephant",11
"L09","Genet",41
"L09","Impala",1
"L09","Mongoose_bushy_tailed",18
"L09","Mongoose_large_grey",3
"L09","Mongoose_slender",8
"L09","Nyala",3
"L09","Oribi",4
"L09","Porcupine",22
"L09","Vervet",4
"L09","Warthog",131
"L09","Waterbuck",28
"L11","Baboon",197
"L11","Buffalo",1
"L11","Bushbaby",1
"L11","Bushbuck",243
"L11","Bushpig",12
"L11","Civet",25
"L11","Duiker_red",1
"L11","Elephant",17
"L11","Genet",58
"L11","Guineafowl_helmeted",3
"L11","Hare",7
"L11","Honey_badger",2
"L11","Hornbill_ground",2
"L11","Impala",8
"L11","Kudu",19
"L11","Mongoose_banded",2
"L11","Mongoose_bushy_tailed",2
"L11","Mongoose_marsh",2
"L11","Mongoose_slender",5
"L11","Nyala",73
"L11","Oribi",16
"L11","Porcupine",14
"L11","Sable_antelope",2
"L11","Samango",1
"L11","Vervet",14
"L11","Warthog",241
"L11","Waterbuck",78
"L11","Wildebeest",1
"L13","Aardvark",4
"L13","Baboon",68
"L13","Bushbaby",5
"L13","Bushbuck",53
"L13","Bushpig",9
"L13","Civet",8
"L13","Duiker_red",4
"L13","Elephant",11
"L13","Genet",32
"L13","Guineafowl_helmeted",2
"L13","Honey_badger",2
"L13","Impala",1
"L13","Mongoose_banded",1
"L13","Mongoose_bushy_tailed",25
"L13","Mongoose_marsh",2
"L13","Mongoose_slender",6
"L13","Nyala",26
"L13","Porcupine",8
"L13","Sable_antelope",2
"L13","Vervet",15
"L13","Warthog",22
"L13","Waterbuck",16
"M08","Baboon",206
"M08","Bushbaby",9
"M08","Bushbuck",332
"M08","Bushpig",50
"M08","Civet",3
"M08","Elephant",36
"M08","Genet",9
"M08","Guineafowl_helmeted",2
"M08","Hare",6
"M08","Honey_badger",16
"M08","Impala",25
"M08","Kudu",3
"M08","Lion",1
"M08","Mongoose_banded",1
"M08","Mongoose_marsh",3
"M08","Mongoose_slender",1
"M08","Mongoose_white_tailed",1
"M08","Nyala",2
"M08","Oribi",37
"M08","Porcupine",47
"M08","Reedbuck",19
"M08","Sable_antelope",4
"M08","Serval",3
"M08","Vervet",12
"M08","Warthog",407
"M08","Waterbuck",335
"M10","Aardvark",11
"M10","Baboon",165
"M10","Buffalo",8
"M10","Bushbuck",315
"M10","Bushpig",6
"M10","Civet",26
"M10","Elephant",28
"M10","Genet",9
"M10","Hare",30
"M10","Honey_badger",2
"M10","Impala",3
"M10","Kudu",3
"M10","Mongoose_banded",3
"M10","Mongoose_marsh",1
"M10","Oribi",48
"M10","Porcupine",17
"M10","Reedbuck",8
"M10","Vervet",43
"M10","Warthog",365
"M10","Waterbuck",165
