2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Longitude,Latitude,study_site,latest_fire_thru2015,latest_fire_thru2016,latest_fire_thru2017,days_since_burn2016,days_since_burn2017,days_since_burn2018
NA,278,NA,275,250,293,252,279,288,NA,249,240,264,242.9777197,279,NA,NA,652571.5229,7895855.634,H13,10/6/15,10/6/15,10/6/15,87,453,818
NA,353,NA,282,250,293,NA,290,NA,311,NA,252,NA,250.7913356,275.9768151,NA,NA,654621.1054,7906843.928,I04,10/3/15,10/3/15,10/3/15,90,456,821
NA,NA,260,NA,NA,206,NA,287,NA,NA,NA,52,NA,238.9692692,NA,NA,NA,654649.7034,7904331.173,I06,8/28/14,8/28/14,8/28/14,491,857,1222
NA,NA,260,NA,NA,293,255,283,NA,NA,NA,NA,NA,239.9380282,NA,NA,NA,654672.7672,7901916.965,I08,8/28/14,8/28/14,8/28/14,491,857,1222
NA,NA,NA,NA,NA,295,251,280,NA,311,NA,NA,267,238.9809208,221.0519413,NA,NA,654692.833,7899526.02,I10,8/9/15,8/9/15,8/9/15,145,511,876
NA,278,NA,275,NA,290,250,280,NA,NA,NA,NA,NA,242,NA,NA,NA,654701.766,7897066.538,I12,8/30/14,8/30/14,8/30/14,489,855,1220
NA,276,239,277,NA,293,250,281,NA,311,NA,NA,NA,NA,NA,NA,NA,654438.7419,7894691.23,I14,11/7/10,11/7/10,11/7/10,1881,2247,2612
NA,355,NA,NA,NA,NA,NA,288,NA,317,NA,NA,NA,NA,275.0495678,NA,NA,656800.0799,7907926.996,J03,10/2/15,10/2/15,10/2/15,91,457,822
NA,351,NA,283,249,293,NA,NA,292,311,NA,252,NA,242,275.0018625,NA,NA,656760.1008,7905433.611,J05,10/2/15,10/2/15,10/2/15,91,457,822
NA,NA,257,280,249,295,253,281,291,312,307,252,266,241.9494162,NA,NA,NA,656783.7834,7903123.421,J07,8/30/14,8/30/14,8/30/14,489,855,1220
NA,NA,NA,NA,NA,293,255,281,NA,NA,NA,NA,267,NA,NA,NA,NA,656719.4201,7900864.884,J09,9/24/13,9/24/13,9/24/13,829,1195,1560
NA,256,NA,281,NA,292,255,281,NA,NA,NA,NA,267,241.9679627,NA,NA,NA,656795.9875,7898340.612,J11,8/30/14,8/30/14,8/30/14,489,855,1220
NA,257,NA,270,NA,292,251,280,NA,311,NA,NA,264,NA,231.0743517,NA,NA,656710.1784,7896040.187,J13,8/19/15,8/19/15,8/19/15,135,501,866
NA,356,279,NA,249,NA,NA,NA,295,NA,NA,NA,NA,NA,NA,NA,NA,658569.743,7906933.543,K04,10/22/09,10/22/09,10/22/09,2262,2628,2993
NA,NA,274,279,250,293,256,286,289,NA,309,252,269,274.1000968,276,NA,NA,658841.3202,7904323.474,K06,10/3/15,10/3/15,10/3/15,90,456,821
NA,NA,262,281,249,293,255,281,292,310,306,251,268,279.7418762,NA,NA,NA,658804.2283,7901834.466,K08,10/7/14,10/7/14,10/7/14,451,817,1182
NA,NA,NA,NA,258,300,254,283,NA,NA,307,256,NA,279.9957289,NA,NA,NA,658844.0496,7899476.51,K10,10/7/14,10/7/14,10/7/14,451,817,1182
NA,257,NA,272,NA,NA,251,281,NA,NA,NA,252,265,277,249,NA,NA,658867.5015,7897055.597,K12,9/6/15,9/6/15,9/6/15,117,483,848
NA,NA,280,NA,249,297,257,NA,293,NA,309,NA,NA,NA,NA,NA,NA,661011.8661,7905648.523,L05,11/5/11,11/5/11,11/5/11,1518,1884,2249
NA,344,279,280,249,296,256,284,288,NA,309,251,NA,275.1036473,NA,NA,NA,660987.0825,7903032.102,L07,10/2/14,10/2/14,10/2/14,456,822,1187
NA,259,NA,281,258,297,257,281,NA,312,306,253,270,275.1364832,276.3396749,NA,255.0929291,660932.1973,7900711.471,L09,10/3/15,10/3/15,9/12/17,90,456,111
NA,255,NA,280,258,296,254,281,293,313,307,252,264,276.0240035,269.9307117,NA,256.040691,660937.6591,7898309.509,L11,9/27/15,9/27/15,9/13/17,96,462,110
NA,257,232,280,258,296,255,281,NA,314,307,252,NA,275.9451023,NA,NA,256.9544158,660951.5797,7895915.216,L13,10/3/14,9/13/16,9/14/17,455,110,109
NA,NA,281,281,248,NA,258,284,288,312,NA,244,270,286.570077,NA,NA,NA,663028.7186,7901907.404,M08,10/14/14,10/14/14,10/14/14,444,810,1175
NA,281,237,280,256,298,262,284,300,315,309,252,NA,280.0011778,276.89183,NA,257,662812.4137,7899460.883,M10,10/4/15,10/4/15,9/14/17,89,455,109
