"","SppCode1.x","SppCode2","Direction_dry","SIF_dry","sd_dry","CI_lower_dry","CI_upper_dry","SIF.dry.ln","Direction_wet4","SIF_wet4","sd_wet4","CI_lower_wet4","CI_upper_wet4","SIF.wet4.ln","Direction","SIF_wet3","sd_wet3","CI_lower_wet3","CI_upper_wet3","SIF.wet3.ln","SppCode.x","GenusLatin.x","SpeciesLatin.x","CommName.x","Diet.x","Weight.x","Sociality.x","Family.x","Order.x","Activity_pattern.x","Sociality.1.x","Mass_category.x","Trophic_level.x","SppCode.y","GenusLatin.y","SpeciesLatin.y","CommName.y","Diet.y","Weight.y","Sociality.y","Family.y","Order.y","Activity_pattern.y","Sociality.1.y","Mass_category.y","Trophic_level.y","activity.match","sociality.match","masscategory.match","trophiclevel.match","order.match","family.match","activity.combined","sociality.combined","masscategory.combined","trophiclevel.combined","order.combined","family.combined","higher.season","season.diff"
"14","HINI","AEME","None",1.03956605,0.146908381,0.733676128,1.314226648,0.03880336646088,"None",1.125746062,0.158268162,0.805193007,1.435377458,0.118445982081056,"None",1.163979369,0.250958464,0.679356523,1.673809234,0.151844624925366,"HINI","Hippotragus","niger","Sable_antelope","Herbivore",236405.9,"group","Bovidae","Artiodactyla","diurnal","group","Very_large",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","same","different","same","same","same","diurnal_diurnal","group_group","Large_Very_large","1_1","Artiodactyla_Artiodactyla","Bovidae_Bovidae","wet","NS"
"15","HYAF","AEME","None",1.095184652,0.062514399,0.987867044,1.234288761,0.0909229810151631,"None",1.121011972,0.108472683,0.916352634,1.347444856,0.114231823783218,"None",1.226623573,0.193839105,0.870702279,1.643858615,0.20426533218911,"HYAF","Hystrix","africaeaustralis","Porcupine","Herbivore",14936.02,"solitary","Hystricidae","Rodentia","nocturnal","solitary","Medium",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","same","different","different","diurnal_nocturnal","group_solitary","Large_Medium","1_1","Artiodactyla_Rodentia","Bovidae_Hystricidae","wet","NS"
"16","ICAL","AEME","None",1.065206399,0.099134396,0.879344788,1.278197039,0.0631685822621648,"None",1.070693909,0.153348857,0.76387034,1.396934482,0.0683069513641876,"None",0.933580124,0.366380691,0.214384556,1.664320997,-0.0687284878679521,"ICAL","Ichneumia","albicauda","Mongoose_white_tailed","Carnivore",3628.4,"solitary","Herpestidae","Carnivora","nocturnal","solitary","Small",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","same","different","different","diurnal_nocturnal","group_solitary","Large_Small","1_1","Artiodactyla_Carnivora","Bovidae_Herpestidae","wet","NS"
"17","KOEL","AEME","None",1.010641481,0.022287889,0.973663226,1.064187439,0.0105852589466295,"None",1.034034991,0.02705789,0.997966462,1.101272715,0.033468615939195,"None",1.072670827,0.059863433,0.973085067,1.210555175,0.0701516383905207,"KOEL","Kobus","ellipsiprymnus","Waterbuck","Herbivore",204393.48,"group","Bovidae","Artiodactyla","crepuscular","group","Very_large",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","same","different","same","same","same","crepuscular_diurnal","group_group","Large_Very_large","1_1","Artiodactyla_Artiodactyla","Bovidae_Bovidae","wet","NS"
"18","LEMI","AEME","Positive",1.242505362,0.110149238,1.041997587,1.479345612,0.217129794472293,"None",1.112421715,0.189481369,0.719212406,1.469750118,0.106539364042951,"None",1.2909437,0.319289036,0.657488787,1.925517553,0.255373501308622,"LEMI","Lepus","microtis","Hare","Herbivore",1763.61,"solitary","Leporidae","Lagomorpha","nocturnal","solitary","Small",-999,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","different","different","different","diurnal_nocturnal","group_solitary","Large_Small","-999_1","Artiodactyla_Lagomorpha","Bovidae_Leporidae","dry","NS"
"19","LESE","AEME","None",0.894727771,0.185172477,0.512277571,1.233939996,-0.111235773455735,"None",0.82312693,0.321849171,0.179109679,1.389258187,-0.194644861764485,"None",1.204543693,0.448415148,0.303039532,2.04662058,0.186100817217697,"LESE","Leptailurus","serval","Serval","Carnivore",11999.96,"solitary","Felidae","Carnivora","crepuscular","solitary","Medium",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","same","different","different","crepuscular_diurnal","group_solitary","Large_Medium","1_1","Artiodactyla_Carnivora","Bovidae_Felidae","dry","NS"
"20","LOAF","AEME","None",0.978848914,0.042339249,0.895995262,1.066526605,-0.0213779752253896,"None",1.072332753,0.053497287,0.99144277,1.197589246,0.0698364184011914,"None",1.058922852,0.066074516,0.944704563,1.21205687,0.0572522141072327,"LOAF","Loxodonta","africana","Elephant","Herbivore",3824539.93,"group","Elephantidae","Proboscidea","diurnal","group","Very_large",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","same","different","same","different","different","diurnal_diurnal","group_group","Large_Very_large","1_1","Artiodactyla_Proboscidea","Bovidae_Elephantidae","wet","NS"
"21","MATE","AEME","None",1.179046526,0.204899044,0.721201129,1.536961397,0.164706083032769,"None",1.047149255,0.329732017,0.302399029,1.597147513,0.0460714766472285,"None",0.927467311,0.546253997,0.048083552,1.954300607,-0.0752977293264902,"MATE","Manis","temminckii","Pangolin","Carnivore",11943.74,"solitary","Manidae","Pholidota","crepuscular","group","Medium",2,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","different","different","different","crepuscular_diurnal","group_solitary","Large_Medium","1_2","Artiodactyla_Pholidota","Bovidae_Manidae","dry","NS"
"22","MECA","AEME","None",1.060036851,0.096031034,0.873226839,1.25505939,0.0583036726140235,"None",1.078389191,0.140919955,0.798131166,1.357170347,0.0754684379431806,"None",1.206761789,0.345227268,0.523156229,1.880157056,0.18794056472558,"MECA","Mellivora","capensis","Honey_badger","Omnivore",8999.99,"solitary","Mustelidae","Carnivora","crepuscular","solitary","Medium",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"different","different","different","same","different","different","crepuscular_diurnal","group_solitary","Large_Medium","1_1","Artiodactyla_Carnivora","Bovidae_Mustelidae","wet","NS"
"23","MUMU","AEME","None",0.888289744,0.142828318,0.591039147,1.1513894,-0.118457300922126,"None",0.645330989,0.253087698,0.186936686,1.147020851,-0.437991932568257,"None",1.077066924,0.374040127,0.360415675,1.803801182,0.0742415355194526,"MUMU","Mungos","mungo","Mongoose_banded","Carnivore",1260,"group","Herpestidae","Carnivora","diurnal","solitary","Small",1,"AEME","Aepyceros","melampus","Impala","Herbivore",52591.69,"group","Bovidae","Artiodactyla","diurnal","group","Large",1,"same","same","different","same","different","different","diurnal_diurnal","group_group","Large_Small","1_1","Artiodactyla_Carnivora","Bovidae_Herpestidae","dry","NS"
