"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"A06",28,0,0,0,0,0,4,2,5,0,13,0,0,0,0,0,1,24,0,0,0,0,1,0,0,1,20,25,0,15,1,8,1,0,0,0,3,2
"A08",11,0,0,0,0,0,0,0,0,0,30,0,0,0,1,1,2,33,1,0,2,1,0,0,0,0,1,46,0,22,1,3,0,0,0,0,4,16
"A10",0,0,0,0,0,1,8,0,0,0,13,0,0,0,0,6,0,2,0,0,2,0,0,1,0,0,0,58,0,9,6,3,0,0,0,20,1,25
"B05",25,8,1,0,0,0,6,3,3,0,4,0,0,0,4,0,1,24,5,0,0,0,0,0,4,0,31,17,0,30,3,12,2,0,0,0,5,3
"B07",21,3,0,0,0,0,1,3,39,0,7,0,0,0,2,0,2,29,3,0,0,0,0,0,0,0,17,18,0,30,4,7,0,6,0,3,4,17
"B09",13,3,0,0,1,0,7,1,0,0,27,0,0,0,0,5,0,19,0,0,2,0,0,0,0,0,3,30,0,33,1,2,1,0,0,3,1,7
"C06",10,0,3,0,1,1,0,1,0,0,12,0,0,0,1,5,2,4,2,0,0,0,0,1,6,0,54,33,0,29,5,10,1,17,1,3,6,27
"C08",20,5,0,0,10,0,4,3,0,5,29,0,0,0,0,4,1,19,0,1,0,0,3,1,0,1,18,46,0,27,5,0,0,2,0,12,2,20
"D03",10,0,2,0,0,0,8,7,0,0,20,0,0,0,1,9,1,31,0,0,0,0,1,1,0,0,10,19,1,13,3,0,0,0,0,3,1,53
"D05",28,0,0,0,0,5,3,7,0,0,7,0,0,0,0,9,2,30,0,0,0,1,0,1,0,0,13,46,0,29,2,1,0,0,0,14,11,29
"D07",25,0,1,0,0,0,0,1,1,1,8,0,0,0,3,4,0,26,0,0,0,0,0,0,0,0,8,20,0,37,1,4,0,0,0,6,8,41
"D09",0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,2
"E02",65,0,2,0,0,0,0,9,0,0,1,0,0,0,0,0,0,57,13,0,0,0,0,0,0,0,71,27,1,44,1,24,0,0,0,0,3,31
"E04",25,0,0,0,0,0,19,2,0,1,7,0,0,0,1,1,0,36,0,0,1,0,0,0,0,0,14,47,0,25,3,6,0,0,0,2,0,18
"E06",13,0,0,0,0,0,0,2,0,0,3,0,0,0,0,6,0,44,0,0,1,0,0,0,0,0,2,40,0,31,4,4,0,7,0,32,11,34
"E08",5,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,1,6,0,4,2,0,0,1,0,2,1,5
"E10",7,1,0,0,0,0,0,0,0,0,18,0,0,0,4,0,0,11,0,0,5,0,0,0,0,0,9,12,0,17,1,12,0,0,0,0,5,1
"E12",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,19,0,3,10,3,0,0,0,0,0,14
"F01",68,0,0,0,0,0,0,10,0,0,2,0,0,0,0,5,7,71,1,0,4,0,2,0,4,0,51,23,0,79,7,9,0,0,0,0,3,45
"F03",32,0,0,0,0,0,16,1,0,0,7,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,6,26,0,18,0,0,0,0,0,3,2,16
