"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"A06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A08",13,0,0,0,0,0,0,1,0,0,13,0,1,0,0,2,1,47,0,0,0,0,3,0,0,0,7,56,0,20,0,5,0,0,0,2,2,10
"A10",16,0,1,0,0,0,5,0,0,0,3,2,0,0,0,0,0,54,0,0,3,0,0,2,0,0,0,55,0,19,5,0,0,0,0,29,1,15
"B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B07",16,0,0,0,0,0,3,6,5,0,0,0,0,0,0,0,11,9,0,0,0,0,1,0,0,0,8,28,0,27,0,0,0,0,0,5,8,3
"B09",18,1,0,0,0,0,9,2,0,1,17,1,0,0,0,2,0,13,0,0,1,0,0,0,0,1,7,45,0,10,3,0,1,0,0,3,1,4
"C06",12,0,3,0,0,1,0,0,0,0,3,2,0,0,1,5,0,9,0,0,4,0,1,0,4,0,20,42,0,43,21,6,0,0,0,9,1,43
"C08",5,0,0,0,4,5,3,0,0,0,6,0,0,0,0,2,1,6,0,0,0,0,0,0,1,0,3,32,0,10,11,0,0,0,0,15,5,6
"D03",2,0,1,0,0,0,2,6,0,0,0,0,0,0,0,1,0,21,0,0,1,0,2,1,0,0,0,32,0,11,1,0,0,0,0,4,2,54
"D05",13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,7,1,0,1,0,0,0,0,0,0,15,0,8,1,0,0,2,0,4,1,23
"D07",41,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,29,0,0,1,0,1,0,0,0,3,49,0,55,2,3,0,1,0,16,8,48
"D09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02",37,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,12,4,1,0,0,0,0,0,0,45,16,0,24,1,5,0,0,0,1,0,15
"E04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E08",5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,3,0,1
"E10",14,0,0,0,0,0,0,0,1,0,18,0,0,0,2,1,0,16,0,0,1,0,0,0,0,0,6,24,0,20,2,0,0,1,0,3,1,8
"E12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F01",52,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,2,27,4,0,0,0,0,1,2,0,34,45,1,59,1,12,0,0,0,1,0,18
"F03",42,0,0,0,1,0,16,1,0,0,14,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,5,46,0,18,2,0,0,0,0,2,1,26
"F05",11,0,1,0,0,0,1,2,0,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,5,0,7,0,0,0,0,0,1,1,5
"F07",34,0,0,0,0,0,0,6,0,0,7,1,0,0,0,1,1,3,0,0,1,0,0,0,1,0,4,31,0,16,0,0,0,0,0,21,5,8
"F09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F11",14,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,2,0,0,0,0,0,4,18,0,15,2,0,1,0,0,1,2,7
"G02",57,0,2,0,0,0,10,10,0,4,33,0,0,0,0,0,2,53,0,0,1,0,0,0,1,0,26,56,1,77,0,0,0,0,0,0,0,37
"G04",8,0,0,0,0,0,16,8,0,0,5,0,0,0,0,0,3,12,0,0,1,0,0,0,1,0,7,48,0,37,2,1,0,0,0,0,3,4
"G06",15,0,1,0,0,1,0,1,0,1,13,0,2,0,0,4,3,15,0,0,3,0,0,3,1,0,2,59,0,26,7,0,0,0,0,21,1,11
"G08",5,0,10,2,0,0,0,2,0,0,0,0,0,0,0,1,1,13,0,0,2,1,0,0,2,0,8,30,0,20,4,0,0,0,0,7,1,34
"G10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
