"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"J05",0,0,1,0,0,0,6,4,0,14,56,0,0,0,0,5,0,24,12,0,10,0,2,2,0,0,1,41,1,11,12,7,0,0,0,0,0,33
"J07",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29,0,0,1,0,2,0,0,0,9,6,0,74,4,1,0,0,0,0,1,9
"J09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J11",4,0,0,1,0,0,0,3,0,0,7,0,0,0,0,1,0,3,0,0,1,0,0,2,0,0,1,26,0,6,0,0,0,0,0,20,9,23
"J13",13,0,7,1,0,0,0,15,0,0,60,0,0,0,10,3,5,18,0,1,4,3,1,0,0,0,13,54,0,54,5,3,0,0,0,7,5,36
"K04",19,0,0,0,0,0,0,14,0,0,8,0,0,0,0,4,0,69,0,0,9,0,1,0,2,0,11,40,0,58,0,0,0,0,0,0,0,57
"K06",9,0,1,0,0,0,6,28,0,0,28,0,0,0,0,25,0,43,0,0,9,0,2,0,0,0,1,71,0,74,1,0,0,0,0,1,8,77
"K08",28,0,1,0,0,1,0,13,0,0,9,1,0,0,0,0,0,10,0,0,1,0,0,0,0,0,6,49,1,58,1,0,0,0,0,10,7,18
"K10",0,0,1,3,0,26,7,1,0,0,4,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0,0,7,0,29,4,0,0,0,0,17,0,6
"K12",2,0,0,1,0,1,0,2,0,1,9,0,0,0,1,1,5,3,0,0,2,0,1,0,0,0,0,14,0,6,0,0,0,0,0,5,1,1
"L05",0,0,1,0,0,0,0,3,0,0,11,0,0,0,0,6,0,30,3,0,5,0,1,0,1,0,1,20,1,45,4,0,0,0,0,0,0,24
"L07",0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,12,0,50,0,1,23,0,3,0,0,0,2,54,1,65,3,3,2,0,0,4,1,62
"L09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L11",4,0,0,4,0,0,6,0,0,0,2,0,0,0,1,7,0,10,0,0,6,0,0,2,0,1,0,20,0,45,0,0,0,0,0,13,4,35
"L13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M10",2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,62,1,1,14,0,2,0,4,0,14,41,0,58,12,5,1,0,3,0,4,69
