"StudySite","Operation"
"A06",0
"A08",69
"A10",0
"B05",0
"B07",121
"B09",91
"C06",29
"C08",121
"D03",40
"D05",121
"D07",121
"D09",0
"E02",38
"E04",0
"E06",0
"E08",17
"E10",0
"E12",0
"F01",121
"F03",59
"F05",0
"F07",0
"F09",0
"F11",56
"G02",24
"G04",121
"G06",121
"G08",121
"G10",0
"G12",0
"H03",121
"H05",50
"H07",0
"H09",0
"H11",0
"H13",0
"I04",121
"I06",28
"I08",112
"I10",11
"I12",121
"I14",0
"J03",14
"J05",48
"J07",121
"J09",0
"J11",121
"J13",40
"K04",83
"K06",121
"K08",32
"K10",121
"K12",32
"L05",31
"L07",0
"L09",0
"L11",121
"L13",0
"M08",0
"M10",0
