"StudySite","Operation"
"A06",31
"A08",61
"A10",20
"B05",79
"B07",121
"B09",40
"C06",37
"C08",121
"D03",26
"D05",50
"D07",121
"D09",24
"E02",81
"E04",121
"E06",58
"E08",47
"E10",121
"E12",121
"F01",0
"F03",25
"F05",36
"F07",95
"F09",26
"F11",34
"G02",0
"G04",121
"G06",121
"G08",114
"G10",121
"G12",97
"H03",121
"H05",121
"H07",26
"H09",121
"H11",121
"H13",64
"I04",121
"I06",26
"I08",38
"I10",29
"I12",24
"I14",40
"J03",17
"J05",69
"J07",42
"J09",54
"J11",0
"J13",44
"K04",72
"K06",121
"K08",25
"K10",121
"K12",38
"L05",34
"L07",121
"L09",0
"L11",121
"L13",121
"M08",79
"M10",92
