"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"A06",18,0,0,0,0,0,3,1,4,0,7,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,12,14,0,10,1,4,0,0,0,0,2,2
"A08",2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,4,1,0,1,1,0,0,0,0,1,14,0,8,0,2,0,0,0,0,1,8
"A10",0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,3,0,2,0,0,1,0,0,1,0,0,0,28,0,1,4,1,0,0,0,9,1,11
"B05",12,4,0,0,0,0,1,1,1,0,2,0,0,0,1,0,1,15,1,0,0,0,0,0,1,0,15,4,0,13,0,6,1,0,0,0,4,0
"B07",15,1,0,0,0,0,0,1,23,0,3,0,0,0,1,0,1,19,1,0,0,0,0,0,0,0,10,7,0,15,3,5,0,4,0,3,4,11
"B09",7,2,0,0,0,0,3,0,0,0,13,0,0,0,0,2,0,10,0,0,1,0,0,0,0,0,2,8,0,13,1,1,0,0,0,1,1,1
"C06",4,0,2,0,0,0,0,0,0,0,6,0,0,0,1,4,1,3,2,0,0,0,0,0,3,0,20,14,0,12,2,8,0,1,0,3,2,12
"C08",6,4,0,0,1,0,1,1,0,0,17,0,0,0,0,2,1,6,0,1,0,0,1,1,0,0,8,13,0,10,2,0,0,1,0,8,2,7
"D03",7,0,2,0,0,0,4,4,0,0,9,0,0,0,1,3,1,21,0,0,0,0,0,1,0,0,8,16,0,6,3,0,0,0,0,2,1,29
"D05",17,0,0,0,0,1,2,0,0,0,4,0,0,0,0,7,0,18,0,0,0,0,0,1,0,0,10,21,0,15,1,1,0,0,0,9,8,18
"D07",7,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,4,5,0,16,1,2,0,0,0,2,3,12
"D09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02",35,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,39,15,0,12,0,14,0,0,0,0,3,22
"E04",15,0,0,0,0,0,12,1,0,0,3,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,8,16,0,14,2,4,0,0,0,1,0,8
"E06",8,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,28,0,0,1,0,0,0,0,0,2,18,0,17,0,3,0,5,0,19,10,17
"E08",2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,1,3
"E10",1,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,1,5,0,5,0,7,0,0,0,0,2,1
"E12",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,6,1,0,0,0,0,0,9
"F01",35,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,34,1,0,0,0,2,0,3,0,24,14,0,39,5,6,0,0,0,0,1,19
"F03",11,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,9,0,9,0,0,0,0,0,1,1,7
"F05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F07",22,1,0,0,0,0,0,1,3,0,0,0,0,0,3,1,0,32,0,0,3,0,0,0,0,0,10,24,0,14,6,4,0,1,0,9,6,11
"F09",0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0
"F11",3,0,1,0,0,0,0,2,1,0,3,0,0,0,5,1,0,6,0,0,6,0,0,0,0,0,3,18,0,8,1,0,0,0,0,1,2,13
"G02",16,0,0,0,8,0,2,3,0,0,3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,16,19,0,13,0,0,0,0,0,0,0,12
"G04",13,0,5,0,0,0,8,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,2,0,8,18,0,12,0,0,0,0,0,0,0,5
"G06",2,0,0,2,0,0,2,0,0,3,12,0,1,0,0,0,0,7,0,0,1,0,0,1,2,0,1,21,0,4,16,0,0,0,0,6,1,7
"G08",0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,13,0,0,0,1,0,0,0,0,1,18,0,3,0,0,0,0,0,0,2,7
"G10",0,0,0,0,0,9,1,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,9,0,1,2,0,0,0,0,6,1,9
"G12",4,0,2,0,1,1,0,4,0,0,2,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,17,0,4,2,0,0,0,0,1,0,2
"H03",14,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,16,0,19,0,0,0,0,0,0,0,2
"H05",30,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,39,0,0,2,0,0,0,0,0,2,36,0,10,2,0,0,0,0,0,1,3
"H07",2,0,0,0,0,0,0,9,0,1,6,1,0,0,0,0,3,30,0,0,4,1,1,0,0,0,2,14,0,26,4,3,0,0,0,6,1,7
"H09",1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,2,0,2,0,0,2,0,0,0,0,0,1,15,0,4,1,1,0,0,0,1,0,6
"H11",0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,28,0,4,2,0,0,0,0,1,1,10
"H13",2,0,0,3,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,0,3,0,0,0,0,0,0,0,4
"I04",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,34,1,0,10,0,3,0,1,0,17,16,0,37,4,9,0,0,0,0,0,22
"I06",16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,4,8,0,3,0,0,0,0,0,1,0,0
"I08",3,0,1,0,0,0,3,3,0,1,21,0,0,0,2,6,0,23,0,0,2,0,2,0,0,0,5,20,0,23,2,0,0,0,0,6,2,14
"I10",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,10,14,0,3,0,0,0,0,0,1,5,6
"I12",2,0,0,0,0,0,4,4,0,0,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,20,0,3,0,0,0,0,0,0,0,8
"I14",0,0,5,0,0,0,4,2,0,0,31,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,5,0,2,0,0,0,0,0,0,0,8
"J03",5,0,2,0,0,0,0,4,0,0,6,0,0,0,0,0,0,39,0,0,4,0,0,0,0,0,1,8,0,3,0,0,0,0,0,0,0,6
"J05",1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,2,0,19,1,0,0,0,1,0,0,0,1,18,0,19,3,1,0,0,0,0,0,8
"J07",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,9,13,0,28,1,1,6,0,0,0,0,19
"J09",0,0,0,3,0,0,1,4,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,9,1,0,0,0,0,2,0,12
"J11",0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,3,1,2
"J13",7,0,0,1,0,0,0,3,0,0,3,0,0,0,6,2,1,6,0,0,0,0,0,0,0,1,10,25,0,22,1,1,0,1,0,1,3,27
"K04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,7
"K06",2,0,0,0,0,0,1,3,0,0,8,0,0,0,0,8,0,8,0,0,4,0,0,0,1,0,0,34,1,42,0,0,0,0,0,1,1,18
"K08",0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,5,0,5,0,0,0,0,0,0,1,4
"K10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"K12",0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,1,2
"L05",2,0,2,0,0,0,0,24,0,0,11,6,0,0,0,26,0,39,3,6,6,0,2,0,3,0,5,14,0,38,2,4,2,0,0,0,0,38
"L07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
"L09",1,0,0,0,0,0,3,0,0,0,9,0,0,0,0,9,0,7,0,0,1,0,0,0,0,0,2,29,0,27,8,0,0,0,0,1,0,25
"L11",1,0,0,0,0,0,2,5,0,2,0,0,0,0,0,2,0,7,1,0,1,0,1,0,0,0,1,25,0,29,1,0,0,0,0,12,3,22
"L13",0,0,1,2,0,0,0,1,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,1,0,1,0,10,0,1,2,0,0,0,0,6,0,6
"M08",4,0,1,0,0,0,4,1,0,1,2,0,0,0,1,5,0,31,0,1,1,0,3,0,0,0,10,30,0,36,3,4,0,0,0,0,0,28
"M10",0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,3,0,20,6,0,6,0,0,0,1,0,9,25,0,30,0,3,4,0,0,0,1,31
