"StudySite","Operation"
"A06",0
"A08",38
"A10",0
"B05",0
"B07",90
"B09",60
"C06",0
"C08",90
"D03",13
"D05",90
"D07",90
"D09",0
"E02",0
"E04",0
"E06",0
"E08",0
"E10",0
"E12",0
"F01",90
"F03",28
"F05",0
"F07",0
"F09",0
"F11",26
"G02",0
"G04",90
"G06",90
"G08",90
"G10",0
"G12",0
"H03",90
"H05",19
"H07",0
"H09",0
"H11",0
"H13",0
"I04",90
"I06",0
"I08",81
"I10",0
"I12",90
"I14",0
"J03",0
"J05",17
"J07",90
"J09",0
"J11",90
"J13",0
"K04",52
"K06",90
"K08",0
"K10",90
"K12",0
"L05",0
"L07",0
"L09",0
"L11",90
"L13",0
"M08",0
"M10",0
