"StudySite","Operation"
"A06",86
"A08",86
"A10",86
"B05",88
"B07",88
"B09",86
"C06",88
"C08",88
"D03",92
"D05",87
"D07",82
"D09",27
"E02",92
"E04",87
"E06",92
"E08",92
"E10",85
"E12",79
"F01",87
"F03",92
"F05",27
"F07",88
"F09",22
"F11",85
"G02",87
"G04",92
"G06",88
"G08",81
"G10",85
"G12",83
"H03",87
"H05",88
"H07",86
"H09",86
"H11",83
"H13",83
"I04",88
"I06",86
"I08",81
"I10",81
"I12",83
"I14",81
"J03",88
"J05",82
"J07",86
"J09",81
"J11",81
"J13",82
"K04",75
"K06",80
"K08",80
"K10",80
"K12",82
"L05",82
"L07",80
"L09",80
"L11",82
"L13",80
"M08",82
"M10",82
