"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"A06",10,0,0,0,0,0,1,2,0,0,7,0,0,0,0,1,0,12,0,0,0,0,0,0,0,1,11,13,0,18,3,6,0,0,0,0,2,1
"A08",15,0,0,0,0,0,0,0,0,0,26,0,0,0,1,1,1,34,0,0,3,2,0,1,0,0,0,58,0,12,5,1,0,0,0,0,2,6
"A10",0,0,0,0,1,0,15,3,0,0,7,0,0,0,0,7,0,7,0,0,11,0,0,1,0,0,0,46,0,11,7,2,0,0,0,12,0,28
"B05",15,0,0,0,0,0,11,4,2,0,6,0,0,0,1,3,0,23,6,0,1,0,0,0,5,0,12,21,0,26,2,1,0,0,0,0,4,6
"B07",33,2,1,0,0,1,3,10,14,0,4,0,0,0,0,0,2,6,6,0,2,0,0,0,1,0,8,28,0,36,1,2,0,6,0,4,3,16
"B09",14,4,0,0,1,0,4,2,0,0,20,0,0,0,0,5,0,11,1,0,4,0,0,0,0,0,4,53,0,23,4,0,1,0,0,5,2,7
"C06",10,0,3,0,1,0,0,3,0,0,16,0,0,0,0,24,1,3,1,0,3,0,0,1,2,0,61,34,0,34,7,2,0,30,1,2,4,52
"C08",23,2,1,0,9,0,6,8,0,5,23,0,0,0,0,9,0,12,2,0,2,0,3,0,0,3,9,45,0,21,5,0,0,9,0,17,2,28
"D03",3,0,1,0,0,0,16,6,0,0,24,0,0,0,0,13,0,19,0,0,1,0,5,0,0,0,1,8,4,5,0,0,3,0,0,2,2,32
"D05",29,0,0,0,1,4,3,7,0,0,3,0,0,0,0,2,2,6,1,0,0,1,0,1,0,0,4,41,0,13,4,0,0,2,0,33,4,15
"D07",26,0,4,0,0,1,4,2,0,1,19,0,0,0,2,3,1,16,3,0,0,0,0,0,0,2,5,35,0,30,3,1,0,1,0,23,7,56
"D09",1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,7,0,3,3,0,0,0,0,0,1,1
"E02",31,0,7,0,0,0,0,6,0,0,2,1,0,0,0,0,0,39,26,1,0,0,0,0,0,0,44,16,0,47,1,12,0,0,0,0,1,12
