"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"A06",5,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,3,7,0,3,0,1,0,0,0,0,1,2
"A08",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1
"A10",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10,0,1,1,0,0,0,0,4,0,1
"B05",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,4,0,3,0,0,0,0,3,0
"B07",5,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,5,2,0,3,2,1,0,2,0,0,2,4
"B09",1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0
"C06",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,0,2,2,5,0,0,0,2,1,4
"C08",0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,4,0,3,1,0,0,1,0,4,0,1
"D03",3,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,2,7,0,3,1,0,0,0,0,1,0,10
"D05",4,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,7,0,7,1,1,0,0,0,4,2,7
"D07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02",12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,5,0,5,0,5,0,0,0,0,1,7
"E04",3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,6,0,8,0,0,0,0,0,0,0,3
"E06",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,8,0,7,0,0,0,2,0,9,5,7
"E08",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1
"E10",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,0,1
"E12",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5
"F01",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,0,1,0,0,0,9,3,0,14,0,2,0,0,0,0,0,8
"F03",5,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,1
"F05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F07",6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,4,5,0,4,1,1,0,0,0,2,2,3
"F09",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"F11",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,3,0,0,0,0,0,2,5,0,4,0,0,0,0,0,0,1,7
"G02",6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,7,0,4,0,0,0,0,0,0,0,5
"G04",3,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,5,0,5,0,0,0,0,0,0,0,2
"G06",0,0,0,2,0,0,1,0,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1,4,0,0,0,0,0,1,4
"G08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,3
"G10",0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,3,1,2
"G12",2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"H03",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,5,0,7,0,0,0,0,0,0,0,2
"H05",13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,1,12,0,5,1,0,0,0,0,0,1,0
"H07",2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,0,7,0,9,1,2,0,0,0,2,0,5
"H09",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,1,0,0,0,0,0,1
"H11",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1
"H13",0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,2
"I04",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,1,0,0,0,0,0,5,5,0,14,1,2,0,0,0,0,0,7
"I06",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
"I08",1,0,1,0,0,0,0,1,0,0,5,0,0,0,2,4,0,6,0,0,0,0,0,0,0,0,1,4,0,7,1,0,0,0,0,1,1,4
"I10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,1,0,2
"I12",0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1
"I14",0,0,2,0,0,0,1,2,0,0,12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,4
"J03",3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
"J05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,4,0,7,1,0,0,0,0,0,0,4
"J07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,11,1,0,2,0,0,0,0,8
"J09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4
"J11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
"J13",1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,3,7,0,9,0,0,0,0,0,1,1,10
"K04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,1,5
"K08",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,2
"K10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K12",0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
"L05",2,0,2,0,0,0,0,7,0,0,3,2,0,0,0,10,0,14,2,1,2,0,0,0,1,0,2,7,0,14,0,3,2,0,0,0,0,13
"L07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L09",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,2,10,0,8,2,0,0,0,0,1,0,7
"L11",1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,0,13,1,0,0,0,0,7,1,10
"L13",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1
"M08",3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,12,0,0,1,0,1,0,0,0,2,12,0,14,1,2,0,0,0,0,0,8
"M10",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,1,10,0,13,0,0,3,0,0,0,0,7
