"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"D09",0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,2
"E02",53,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,47,8,0,0,0,0,0,0,0,58,25,1,30,1,20,0,0,0,0,3,28
"E04",21,0,0,0,0,0,17,2,0,0,5,0,0,0,1,1,0,36,0,0,1,0,0,0,0,0,12,31,0,24,2,4,0,0,0,2,0,15
"E06",9,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,37,0,0,1,0,0,0,0,0,2,33,0,26,3,4,0,6,0,27,11,26
"E08",2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,5,0,4,2,0,0,1,0,0,1,4
"E10",6,1,0,0,0,0,0,0,0,0,15,0,0,0,4,0,0,10,0,0,5,0,0,0,0,0,7,11,0,10,1,8,0,0,0,0,4,1
"E12",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,9,0,1,9,1,0,0,0,0,0,12
"F01",55,0,0,0,0,0,0,4,0,0,1,0,0,0,0,4,6,56,1,0,2,0,2,0,4,0,41,19,0,64,7,8,0,0,0,0,1,34
"F03",22,0,0,0,0,0,9,1,0,0,7,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,5,14,0,15,0,0,0,0,0,2,2,14
"F05",8,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,16,0,0,0,0,0,0,1,0,5,9,0,14,1,0,0,0,0,12,0,7
"F07",32,3,0,0,0,0,0,5,5,0,3,0,0,0,3,3,0,45,0,0,3,0,1,0,0,0,16,42,0,25,8,5,0,1,0,13,9,20
"F09",1,0,0,0,0,0,0,1,1,0,4,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,3,1
"F11",5,0,1,0,0,0,0,2,1,0,3,0,0,0,7,2,0,9,0,0,7,0,0,0,1,0,5,26,0,12,1,0,0,0,0,1,4,14
"G02",19,0,0,0,8,0,2,6,0,0,7,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,22,26,0,18,0,0,0,0,0,0,1,13
"G04",19,0,5,0,0,0,17,4,0,0,0,0,0,0,0,0,2,14,0,0,0,0,1,0,2,0,16,34,0,19,1,2,0,0,0,1,0,7
"G06",9,0,0,2,0,0,2,2,0,6,14,0,1,0,0,0,1,12,0,0,1,0,0,2,3,0,3,40,0,12,30,0,0,0,0,15,2,13
"G08",0,0,4,1,0,0,0,5,0,0,2,0,0,0,0,0,1,16,0,0,2,1,0,0,1,0,2,27,0,6,2,0,0,0,0,1,2,13
"G10",1,0,0,2,0,18,1,2,0,0,5,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,3,12,0,3,3,0,0,0,0,12,2,14
"G12",5,0,2,0,1,2,0,7,0,0,6,0,0,0,1,2,1,2,0,0,4,0,0,1,0,0,0,31,0,6,2,0,0,0,0,2,0,8
"H03",26,0,0,0,0,0,2,13,0,0,3,0,0,0,0,0,0,34,0,0,3,0,0,0,0,0,11,21,0,36,0,2,0,0,0,0,1,3
"H05",52,0,1,0,0,0,11,3,0,0,0,0,0,0,0,0,0,55,0,0,2,0,0,0,0,0,7,58,0,23,2,1,0,0,0,0,3,8
"H07",5,0,1,0,0,0,0,9,0,1,11,1,0,0,0,1,3,39,0,0,6,1,1,0,0,0,5,22,0,45,4,3,0,0,0,9,1,18
"H09",1,0,1,0,0,0,0,0,0,0,18,0,0,0,1,4,0,9,0,0,7,0,0,0,0,0,3,22,0,8,1,1,0,0,0,2,1,12
"H11",0,0,0,0,0,0,1,2,0,0,25,0,0,0,0,4,0,0,0,0,4,0,0,1,0,0,0,41,0,6,2,0,0,0,0,2,2,15
"H13",2,0,2,3,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,22,0,3,0,0,0,0,0,0,1,4
"I04",21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,61,4,0,19,0,3,0,1,0,28,25,0,57,8,10,0,0,0,0,0,27
"I06",21,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,18,1,0,3,0,0,0,0,0,11,13,0,8,0,0,0,0,1,1,0,2
"I08",8,0,1,0,0,0,3,4,0,1,31,0,0,0,2,8,0,32,0,0,6,0,4,0,1,0,8,35,0,35,5,0,0,0,0,10,3,16
"I10",2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,4,1,0,4,0,1,1,0,0,11,23,0,6,0,0,0,0,0,7,5,14
"I12",2,0,0,0,0,0,4,7,0,0,10,0,0,0,1,0,2,2,1,1,5,0,1,0,0,1,6,29,0,5,1,0,1,0,0,0,1,15
"I14",0,0,5,0,0,0,7,6,0,1,47,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,7,13,0,7,1,0,0,0,0,0,0,10
"J03",6,0,2,0,0,0,0,5,0,0,7,0,0,0,0,0,1,61,0,0,5,0,0,0,0,0,1,13,0,3,1,0,0,0,0,0,0,13
"J05",1,0,0,0,0,0,0,1,0,0,12,1,0,0,0,3,0,31,1,0,1,0,3,1,0,0,1,24,0,30,6,1,1,0,0,1,0,17
"J07",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,13,15,0,45,1,1,8,0,1,0,2,29
"J09",0,0,1,3,0,0,2,6,0,0,9,0,0,0,0,0,0,7,0,0,3,0,0,0,0,2,3,9,0,15,1,0,1,0,0,5,0,21
"J11",0,0,0,2,0,0,0,0,0,0,6,0,0,0,2,1,0,0,0,0,3,1,1,0,0,0,2,11,0,2,0,0,0,0,0,5,1,8
"J13",13,0,0,1,0,0,0,5,0,0,11,0,0,0,9,4,1,14,0,1,6,0,0,0,0,3,21,39,0,35,1,1,0,3,0,1,3,40
"K04",4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,24,0,0,2,0,0,0,0,0,2,6,0,15,0,0,0,0,0,0,0,17
"K06",3,0,0,0,0,0,3,7,0,0,18,0,0,0,0,13,0,15,0,0,6,0,0,0,1,0,1,57,1,68,0,0,0,0,0,1,3,28
"K08",0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,3,17,0,14,0,1,2,0,0,0,2,14
"K10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,3,0,5
"K12",1,0,0,2,0,0,0,0,0,0,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,14,0,3,0,0,0,0,0,1,1,3
"L05",2,0,6,0,0,0,0,38,0,0,21,7,0,0,0,47,1,65,5,8,10,0,2,0,4,0,7,22,0,66,6,4,2,0,0,1,0,65
"L07",0,0,0,0,0,0,4,2,0,0,3,0,0,0,0,1,0,11,2,0,12,0,4,0,0,0,1,17,0,24,0,3,0,0,0,1,0,14
"L09",1,0,0,1,0,0,3,0,0,0,11,0,0,0,0,12,0,7,0,0,3,0,0,0,0,0,3,34,0,33,9,0,0,0,0,2,0,37
"L11",4,0,0,0,0,1,2,7,0,2,6,0,0,0,0,3,0,12,1,0,2,0,2,0,0,0,4,42,0,48,2,0,0,0,0,14,4,38
"L13",0,0,1,5,0,1,0,1,0,0,9,0,0,0,1,1,0,4,0,0,1,0,0,1,0,1,0,10,0,4,3,0,0,0,0,6,0,9
"M08",7,0,2,0,0,0,7,1,0,1,2,0,0,0,2,9,0,49,0,1,4,0,3,0,0,0,14,48,0,56,5,8,0,0,0,1,0,50
"M10",0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,7,0,33,14,0,8,0,0,0,4,0,16,45,0,56,0,4,4,0,0,0,1,54
