"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"A06",27,0,0,0,0,0,3,1,5,0,13,0,0,0,0,0,1,20,0,0,0,0,1,0,0,1,13,20,0,14,1,5,1,0,0,0,2,2
"A08",8,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2,20,1,0,1,1,0,0,0,0,1,29,0,16,0,3,0,0,0,0,3,12
"A10",0,0,0,0,0,1,3,0,0,0,12,0,0,0,0,5,0,2,0,0,1,0,0,1,0,0,0,44,0,2,5,1,0,0,0,17,1,18
"B05",22,8,1,0,0,0,2,2,2,0,3,0,0,0,4,0,1,21,2,0,0,0,0,0,2,0,27,9,0,21,2,12,2,0,0,0,5,0
"B07",17,2,0,0,0,0,0,2,34,0,6,0,0,0,2,0,2,26,2,0,0,0,0,0,0,0,15,12,0,22,4,7,0,4,0,3,4,15
"B09",11,2,0,0,0,0,4,0,0,0,23,0,0,0,0,3,0,16,0,0,2,0,0,0,0,0,2,15,0,23,1,2,1,0,0,1,1,3
"C06",8,0,3,0,1,1,0,1,0,0,9,0,0,0,1,5,1,4,2,0,0,0,0,0,5,0,35,25,0,23,5,10,1,8,1,3,5,22
"C08",12,4,0,0,8,0,3,2,0,2,25,0,0,0,0,3,1,15,0,1,0,0,2,1,0,0,15,33,0,19,4,0,0,1,0,11,2,15
"D03",8,0,2,0,0,0,6,6,0,0,14,0,0,0,1,6,1,30,0,0,0,0,0,1,0,0,10,17,0,11,3,0,0,0,0,3,1,42
"D05",27,0,0,0,0,3,2,5,0,0,4,0,0,0,0,9,0,27,0,0,0,0,0,1,0,0,13,36,0,26,2,1,0,0,0,13,10,27
"D07",17,0,0,0,0,0,0,0,1,0,5,0,0,0,2,2,0,22,0,0,0,0,0,0,0,0,7,10,0,28,1,4,0,0,0,5,6,26
