"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"A06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A08",2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,3,24,0,17,0,3,0,0,0,0,0,8
"A10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B07",24,0,0,0,0,0,1,0,33,0,1,0,0,0,3,0,0,31,0,0,3,0,0,0,0,0,6,38,1,48,0,1,3,0,0,16,0,6
"B09",6,5,0,0,0,0,1,2,0,0,3,1,0,0,0,0,0,9,0,0,4,0,0,0,0,0,1,23,0,19,2,0,0,0,0,0,2,8
"C06",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,6,3,1,0,0,0,0,0,2
"C08",9,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,13,0,0,6,0,0,0,0,0,2,25,0,20,4,1,0,0,0,21,1,9
"D03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
"D05",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,4,0,0,0,0,1,0,6,0,10,0,0,0,0,0,4,0,6
"D07",58,3,0,0,0,0,1,0,2,0,0,0,0,0,5,1,0,69,0,0,9,0,0,0,0,0,10,55,0,100,5,19,4,1,0,27,13,46
"D09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02",20,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,20,1,0,2,0,0,0,0,0,13,3,0,21,1,0,1,0,0,0,1,7
"E04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
"E10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F01",98,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,67,0,0,7,0,0,0,0,0,15,44,0,97,2,8,3,0,0,0,0,32
"F03",3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22,0,0,9,0,0,0,0,0,1,2,0,11,0,0,0,0,0,0,0,4
"F05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F11",1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,7,0,1,0,1,1,0,0,0,2,7
